日期,無風險利率
2019-12-11,0.00915
2019-12-12,0.009000000000000001
2019-12-13,0.00915
2019-12-16,0.0092
2019-12-17,0.00915
2019-12-18,0.0092
2019-12-19,0.00905
2019-12-20,0.00895
2019-12-23,0.00905
2019-12-24,0.00915
2019-12-25,0.00905
2019-12-26,0.00905
2019-12-27,0.009250000000000001
2019-12-30,0.009000000000000001
2019-12-31,0.00895
2020-01-02,0.00905
2020-01-03,0.009000000000000001
2020-01-06,0.00905
2020-01-07,0.00915
2020-01-08,0.00915
2020-01-09,0.00895
2020-01-10,0.0089
2020-01-13,0.00895
2020-01-14,0.00885
2020-01-15,0.0088
2020-01-16,0.00895
2020-01-17,0.00895
2020-01-20,0.0088
2020-01-30,0.00845
2020-01-31,0.00835
2020-02-03,0.008199999999999999
2020-02-04,0.00825
2020-02-05,0.00825
2020-02-06,0.00795
2020-02-07,0.00795
2020-02-10,0.00825
2020-02-11,0.00825
2020-02-12,0.00825
2020-02-13,0.00835
2020-02-14,0.00835
2020-02-17,0.008199999999999999
2020-02-18,0.00805
2020-02-19,0.007750000000000001
2020-02-20,0.0076500000000000005
2020-02-21,0.0076500000000000005
2020-02-24,0.0076500000000000005
2020-02-25,0.00745
2020-02-26,0.0074
2020-02-27,0.00735
2020-03-02,0.0067
2020-03-03,0.0066500000000000005
2020-03-04,0.006600000000000001
2020-03-05,0.0066500000000000005
2020-03-06,0.00655
2020-03-09,0.0064
2020-03-10,0.00645
2020-03-11,0.006600000000000001
2020-03-12,0.00645
2020-03-13,0.0069
2020-03-16,0.0067
2020-03-17,0.006750000000000001
2020-03-18,0.0074
2020-03-19,0.00755
2020-03-20,0.00695
2020-03-23,0.006500000000000001
2020-03-24,0.006850000000000001
2020-03-25,0.00705
2020-03-26,0.0069
2020-03-27,0.006600000000000001
2020-03-30,0.006850000000000001
2020-03-31,0.0070999999999999995
2020-04-01,0.006750000000000001
2020-04-06,0.00695
2020-04-07,0.006999999999999999
2020-04-08,0.00745
2020-04-09,0.0074
2020-04-10,0.00735
2020-04-13,0.0074
2020-04-14,0.00735
2020-04-15,0.0072
2020-04-16,0.00705
2020-04-17,0.0073
2020-04-21,0.00705
2020-04-22,0.00695
2020-04-23,0.0068000000000000005
2020-04-24,0.0067
2020-04-27,0.006850000000000001
2020-04-28,0.006999999999999999
2020-04-29,0.00695
2020-04-30,0.006999999999999999
2020-05-04,0.00695
2020-05-05,0.00695
2020-05-06,0.00705
2020-05-07,0.006999999999999999
2020-05-08,0.0069
2020-05-11,0.00695
2020-05-12,0.0075
2020-05-13,0.0076
2020-05-14,0.0072
2020-05-15,0.00715
2020-05-18,0.00715
2020-05-19,0.0072
2020-05-20,0.0072499999999999995
2020-05-21,0.0070999999999999995
2020-05-22,0.00715
2020-05-25,0.00695
2020-05-26,0.0070999999999999995
2020-05-27,0.00715
2020-05-28,0.0070999999999999995
2020-05-29,0.0070999999999999995
2020-06-01,0.0070999999999999995
2020-06-02,0.006999999999999999
2020-06-03,0.00695
2020-06-04,0.006850000000000001
2020-06-05,0.0068000000000000005
2020-06-08,0.0072499999999999995
2020-06-09,0.006999999999999999
2020-06-10,0.006600000000000001
2020-06-11,0.006850000000000001
2020-06-12,0.006999999999999999
2020-06-15,0.006999999999999999
2020-06-16,0.0072
2020-06-17,0.00715
2020-06-18,0.00715
2020-06-19,0.0070999999999999995
2020-06-22,0.0069
2020-06-23,0.0070999999999999995
2020-06-24,0.00715
2020-06-29,0.00705
2020-06-30,0.0070999999999999995
2020-07-01,0.0072
2020-07-02,0.0070999999999999995
2020-07-03,0.0069
2020-07-06,0.00715
2020-07-07,0.0070999999999999995
2020-07-08,0.0070999999999999995
2020-07-09,0.00715
2020-07-10,0.0070999999999999995
2020-07-13,0.0070999999999999995
2020-07-14,0.00715
2020-07-15,0.0070999999999999995
2020-07-16,0.0070999999999999995
2020-07-17,0.00705
2020-07-20,0.006999999999999999
2020-07-21,0.006999999999999999
2020-07-22,0.006999999999999999
