日期,無風險利率,市場報酬率,2357收盤價,2382收盤價,2417收盤價,2357實際報酬率,2382實際報酬率,2417實際報酬率,2357超常報酬率,2382超常報酬率,2417超常報酬率
2022-05-20,0.01835,0.0078,324.0,74.5,26.049999,-0.003076923076923077,-0.007989321118224256,0.00968992285619856,-0.014698209971668756,-0.018743080418180215,0.0020207746554500184
2022-05-23,0.01775,0.0007,323.5,75.5,26.049999,-0.0015432098765432098,0.013422818791946308,0.0,-0.008418844147198545,0.007949207790595684,-0.0004885286087926641
2022-05-24,0.01765,-0.0118999999999999,322.0,75.0,25.049999,-0.00463678516228748,-0.006622516556291391,-0.0383877174045189,-0.0034400105404614545,-0.0029958423680164466,-0.026121208336473446
2022-05-25,0.01765,0.0088,327.0,75.699997,25.200001,0.015527950310559006,0.009333293333333282,0.005988104031461264,0.003522415806435855,-0.0019445047524117628,-0.0027021292933372765
2022-05-26,0.01765,-0.0084,323.5,76.699997,25.0,-0.010703363914373088,0.013210040153634353,-0.007936547304105278,-0.011738863782441798,0.014316634488814187,0.0007865512144255744
2022-05-27,0.01765,0.0186,329.0,77.199997,25.4,0.017001545595054096,0.006518905078966301,0.015999999999999945,-0.0012543574807744907,-0.011815116595445246,-0.002611782863439757
2022-05-30,0.01805,0.0212,338.5,79.099998,25.799999,0.028875379939209727,0.024611412873500542,0.015747992125984295,0.00881633289830441,0.004293341005714879,-0.005491077368578935
2022-05-31,0.01805,0.0118999999999999,341.5,79.599998,25.9,0.008862629246676515,0.006321112675628639,0.0038760079021708063,-0.005264945578222562,-0.0073007470110754745,-0.007947713560824689
2022-06-01,0.01805,-0.0079,343.0,79.900002,26.049999,0.004392386530014641,0.0037688945670576682,0.005791467181467225,0.002893107390806081,0.004403486620720499,0.014013325398583371
2022-06-02,0.01805,-0.0073,342.5,79.099998,25.950001,-0.0014577259475218659,-0.010012565456506512,-0.003838694965017057,-0.0033396807135695336,-0.009809987091945712,0.0037757214436108582
2022-06-06,0.01825,0.0032,340.0,79.599998,26.15,-0.0072992700729927005,0.006321112675628639,0.007707090261769094,-0.015950489766445065,-0.0010925439560620876,0.004693755624682312
2022-06-07,0.01875,-0.0056,339.0,80.0,25.799999,-0.0029411764705882353,0.005025150880028925,-0.01338435946462711,-0.006160923948034419,0.0038077064294196753,-0.007482346070146254
2022-06-08,0.01875,0.0095,338.5,80.199997,26.25,-0.0014749262536873156,0.0024999624999999526,0.017441899900848847,-0.01432534367325106,-0.009589826459677073,0.008056627781709132
2022-06-09,0.01875,-0.0029,333.0,80.599998,25.65,-0.01624815361890694,0.004987543827464273,-0.022857142857142913,-0.021189941417129113,0.001826037775895883,-0.019688617600859114
2022-06-10,0.01875,-0.0097,329.0,80.400002,25.299999,-0.012012012012012012,-0.0024813400119439053,-0.013645263157894695,-0.012616809372724289,-0.0007466909203559446,-0.0035923974054109034
2022-06-13,0.01905,-0.0236,327.0,79.300003,24.85,-0.0060790273556231,-0.013681579261652218,-0.017786522442154968,0.0020728317855235228,-0.0020226061946495306,0.0063424661112170405
2022-06-14,0.01975,-0.0015,325.0,79.900002,24.799999,-0.0061162079510703364,0.007566191390938495,-0.002012112676056408,-0.012313112833851912,0.0031166762133020866,-0.0002485486254314292
2022-06-15,0.01975,-0.003,325.0,80.0,24.799999,0.0,0.001251539392952698,0.0,-0.005240215815683806,-0.002117941561928637,0.0032821685718455625
2022-06-16,0.01955,-0.01,324.5,79.800003,24.200001,-0.0015384615384615385,-0.0024999624999999526,-0.02419346871747855,-0.0022416869166354525,-0.000773288311724938,-0.013826959649432997
2022-06-17,0.01965,-0.0125,323.0,81.0,23.700001,-0.004622496147919877,0.015037555825655748,-0.020661156171026603,-0.003767460476457654,0.018536289333372896,-0.007762399266198698
2022-06-20,0.01975,-0.0175,320.0,78.900002,21.6,-0.009287925696594427,-0.025925901234567894,-0.08860763339208293,-0.0052801471969997765,-0.01885505136948348,-0.07064562111510503
