指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比,特殊處理註記,日期
發行量加權股價指數,"14,784.00",+,175.46,0.012,,2022-11-24
發行量加權股價指數,"14,778.51",-,5.49,-0.0004,,2022-11-25
發行量加權股價指數,"14,556.87",-,221.64,-0.015,,2022-11-28
發行量加權股價指數,"14,709.64",+,152.77,0.0105,,2022-11-29
發行量加權股價指數,"14,879.55",+,169.91,0.0116,,2022-11-30
發行量加權股價指數,"15,012.80",+,133.25,0.009000000000000001,,2022-12-01
發行量加權股價指數,"14,970.68",-,42.12,-0.0028000000000000004,,2022-12-02
發行量加權股價指數,"14,980.74",+,10.06,0.0007000000000000001,,2022-12-05
發行量加權股價指數,"14,728.88",-,251.86,-0.0168,,2022-12-06
發行量加權股價指數,"14,630.01",-,98.87,-0.0067,,2022-12-07
發行量加權股價指數,"14,553.04",-,76.97,-0.0053,,2022-12-08
發行量加權股價指數,"14,705.43",+,152.39,0.0105,,2022-12-09
發行量加權股價指數,"14,612.59",-,92.84,-0.0063,,2022-12-12
發行量加權股價指數,"14,522.96",-,89.63,-0.0061,,2022-12-13
發行量加權股價指數,"14,739.36",+,216.4,0.0149,,2022-12-14
發行量加權股價指數,"14,734.13",-,5.23,-0.0004,,2022-12-15
發行量加權股價指數,"14,528.55",-,205.58,-0.013999999999999999,,2022-12-16
發行量加權股價指數,"14,433.32",-,95.23,-0.006600000000000001,,2022-12-19
發行量加權股價指數,"14,170.03",-,263.29,-0.0182,,2022-12-20
發行量加權股價指數,"14,234.40",+,64.37,0.0045000000000000005,,2022-12-21
發行量加權股價指數,"14,442.94",+,208.54,0.0147,,2022-12-22
發行量加權股價指數,"14,271.63",-,171.31,-0.011899999999999999,,2022-12-23
發行量加權股價指數,"14,285.13",+,13.5,0.0009,,2022-12-26
發行量加權股價指數,"14,328.43",+,43.3,0.003,,2022-12-27
發行量加權股價指數,"14,173.10",-,155.33,-0.0108,,2022-12-28
發行量加權股價指數,"14,085.02",-,88.08,-0.0062,,2022-12-29
發行量加權股價指數,"14,137.69",+,52.67,0.0037,,2022-12-30
發行量加權股價指數,"14,224.12",+,86.43,0.0061,,2023-01-03
發行量加權股價指數,"14,199.13",-,24.99,-0.0018,,2023-01-04
發行量加權股價指數,"14,301.05",+,101.92,0.0072,,2023-01-05
發行量加權股價指數,"14,373.34",+,72.29,0.0051,,2023-01-06
發行量加權股價指數,"14,752.21",+,378.87,0.026400000000000003,,2023-01-09
發行量加權股價指數,"14,802.96",+,50.75,0.0034000000000000002,,2023-01-10
發行量加權股價指數,"14,751.44",-,51.52,-0.0034999999999999996,,2023-01-11
發行量加權股價指數,"14,731.64",-,19.8,-0.0013000000000000002,,2023-01-12
發行量加權股價指數,"14,824.13",+,92.49,0.0063,,2023-01-13
發行量加權股價指數,"14,927.01",+,102.88,0.0069,,2023-01-16
發行量加權股價指數,"14,932.93",+,5.92,0.0004,,2023-01-17
發行量加權股價指數,"15,493.82",+,560.89,0.0376,,2023-01-30
發行量加權股價指數,"15,265.20",-,228.62,-0.0148,,2023-01-31
發行量加權股價指數,"15,420.13",+,154.93,0.0101,,2023-02-01
發行量加權股價指數,"15,595.16",+,175.03,0.011399999999999999,,2023-02-02
發行量加權股價指數,"15,602.66",+,7.5,0.0005,,2023-02-03
發行量加權股價指數,"15,392.82",-,209.84,-0.0134,,2023-02-06
發行量加權股價指數,"15,400.91",+,8.09,0.0005,,2023-02-07
發行量加權股價指數,"15,618.17",+,217.26,0.0141,,2023-02-08
發行量加權股價指數,"15,598.71",-,19.46,-0.0012,,2023-02-09
發行量加權股價指數,"15,586.65",-,12.06,-0.0008,,2023-02-10
發行量加權股價指數,"15,544.28",-,42.37,-0.0027,,2023-02-13
發行量加權股價指數,"15,654.48",+,110.2,0.0070999999999999995,,2023-02-14
發行量加權股價指數,"15,432.89",-,221.59,-0.014199999999999999,,2023-02-15
發行量加權股價指數,"15,550.50",+,117.61,0.0076,,2023-02-16
發行量加權股價指數,"15,479.70",-,70.8,-0.0046,,2023-02-17
發行量加權股價指數,"15,551.23",+,71.53,0.0046,,2023-02-20
發行量加權股價指數,"15,563.00",+,11.77,0.0008,,2023-02-21
發行量加權股價指數,"15,418.77",-,144.23,-0.009300000000000001,,2023-02-22
發行量加權股價指數,"15,615.41",+,196.64,0.0128,,2023-02-23
發行量加權股價指數,"15,503.79",-,111.62,-0.0070999999999999995,,2023-02-24
發行量加權股價指數,"15,598.49",+,94.7,0.0061,,2023-03-01
發行量加權股價指數,"15,598.72",+,0.23,0.0,,2023-03-02
發行量加權股價指數,"15,608.42",+,9.7,0.0006,,2023-03-03
發行量加權股價指數,"15,763.51",+,155.09,0.0099,,2023-03-06
發行量加權股價指數,"15,857.89",+,94.38,0.006,,2023-03-07
發行量加權股價指數,"15,818.20",-,39.69,-0.0025,,2023-03-08
發行量加權股價指數,"15,770.66",-,47.54,-0.003,,2023-03-09
發行量加權股價指數,"15,526.20",-,244.46,-0.015500000000000002,,2023-03-10
發行量加權股價指數,"15,560.49",+,34.29,0.0022,,2023-03-13
發行量加權股價指數,"15,360.42",-,200.07,-0.0129,,2023-03-14
發行量加權股價指數,"15,387.59",+,27.17,0.0018,,2023-03-15
發行量加權股價指數,"15,221.12",-,166.47,-0.0108,,2023-03-16
發行量加權股價指數,"15,452.96",+,231.84,0.0152,,2023-03-17
發行量加權股價指數,"15,419.97",-,32.99,-0.0021,,2023-03-20
發行量加權股價指數,"15,513.45",+,93.48,0.0061,,2023-03-21
發行量加權股價指數,"15,760.46",+,247.01,0.0159,,2023-03-22
發行量加權股價指數,"15,863.95",+,103.49,0.006600000000000001,,2023-03-23
發行量加權股價指數,"15,914.70",+,50.75,0.0032,,2023-03-24
發行量加權股價指數,"15,830.31",-,84.39,-0.0053,,2023-03-27
發行量加權股價指數,"15,701.48",-,128.83,-0.008100000000000001,,2023-03-28
發行量加權股價指數,"15,769.76",+,68.28,0.0043,,2023-03-29
發行量加權股價指數,"15,849.43",+,79.67,0.0051,,2023-03-30
發行量加權股價指數,"15,868.06",+,18.63,0.0012,,2023-03-31
發行量加權股價指數,"15,810.77",-,57.29,-0.0036,,2023-04-06
發行量加權股價指數,"15,836.50",+,25.73,0.0016,,2023-04-07
發行量加權股價指數,"15,876.17",+,39.67,0.0025,,2023-04-10
發行量加權股價指數,"15,913.88",+,37.71,0.0024,,2023-04-11
發行量加權股價指數,"15,932.97",+,19.09,0.0012,,2023-04-12
發行量加權股價指數,"15,804.76",-,128.21,-0.008,,2023-04-13
發行量加權股價指數,"15,929.43",+,124.67,0.0079,,2023-04-14
發行量加權股價指數,"15,963.55",+,34.12,0.0021,,2023-04-17
發行量加權股價指數,"15,869.44",-,94.11,-0.0059,,2023-04-18
發行量加權股價指數,"15,770.47",-,98.97,-0.0062,,2023-04-19
發行量加權股價指數,"15,707.52",-,62.95,-0.004,,2023-04-20
發行量加權股價指數,"15,602.99",-,104.53,-0.0067,,2023-04-21
發行量加權股價指數,"15,626.87",+,23.88,0.0015,,2023-04-24
發行量加權股價指數,"15,370.73",-,256.14,-0.016399999999999998,,2023-04-25
發行量加權股價指數,"15,374.63",+,3.9,0.0003,,2023-04-26
發行量加權股價指數,"15,411.49",+,36.86,0.0024,,2023-04-27
發行量加權股價指數,"15,579.18",+,167.69,0.010900000000000002,,2023-04-28
