日期,無風險利率
2020-03-20,0.695
2020-03-23,0.65
2020-03-24,0.685
2020-03-25,0.705
2020-03-26,0.69
2020-03-27,0.66
2020-03-30,0.685
2020-03-31,0.71
2020-04-01,0.675
2020-04-02,0.675
2020-04-03,0.675
2020-04-06,0.695
2020-04-07,0.7
2020-04-08,0.745
2020-04-09,0.74
2020-04-10,0.735
2020-04-13,0.74
2020-04-14,0.735
2020-04-15,0.72
2020-04-16,0.705
2020-04-17,0.73
2020-04-21,0.705
2020-04-22,0.695
2020-04-23,0.68
2020-04-24,0.67
2020-04-27,0.685
2020-04-28,0.7
2020-04-29,0.695
2020-04-30,0.7
2020-05-01,0.7
2020-05-04,0.695
2020-05-05,0.695
2020-05-06,0.705
2020-05-07,0.7
2020-05-08,0.69
2020-05-11,0.695
2020-05-12,0.75
2020-05-13,0.76
2020-05-14,0.72
2020-05-15,0.715
2020-05-18,0.715
2020-05-19,0.72
2020-05-20,0.725
2020-05-21,0.71
2020-05-22,0.715
2020-05-25,0.695
2020-05-26,0.71
2020-05-27,0.715
2020-05-28,0.71
2020-05-29,0.71
2020-06-01,0.71
2020-06-02,0.7
2020-06-03,0.695
2020-06-04,0.685
2020-06-05,0.68
2020-06-08,0.725
2020-06-09,0.7
2020-06-10,0.66
2020-06-11,0.685
2020-06-12,0.7
2020-06-15,0.7
2020-06-16,0.72
2020-06-17,0.715
2020-06-18,0.715
2020-06-19,0.71
2020-06-22,0.69
2020-06-23,0.71
2020-06-24,0.715
2020-06-25,0.715
2020-06-26,0.715
2020-06-29,0.705
2020-06-30,0.71
2020-07-01,0.72
2020-07-02,0.71
2020-07-03,0.69
2020-07-06,0.715
2020-07-07,0.71
2020-07-08,0.71
2020-07-09,0.715
2020-07-10,0.71
2020-07-13,0.71
2020-07-14,0.715
2020-07-15,0.71
2020-07-16,0.71
2020-07-17,0.705
2020-07-20,0.7
2020-07-21,0.7
2020-07-22,0.7
2020-07-23,0.685
2020-07-24,0.685
2020-07-27,0.685
2020-07-28,0.685
2020-07-29,0.68
2020-07-30,0.68
2020-07-31,0.68
2020-08-03,0.68
2020-08-04,0.675
2020-08-05,0.66
2020-08-06,0.66
2020-08-07,0.655
2020-08-10,0.65
2020-08-11,0.645
2020-08-12,0.645
2020-08-13,0.65
2020-08-14,0.65
2020-08-17,0.66
2020-08-18,0.66
2020-08-19,0.655
2020-08-20,0.655
2020-08-21,0.65
2020-08-24,0.65
2020-08-25,0.66
2020-08-26,0.685
2020-08-27,0.69
2020-08-28,0.685
2020-08-31,0.675
2020-09-01,0.68
2020-09-02,0.675
2020-09-03,0.675
2020-09-04,0.655
2020-09-07,0.655
2020-09-08,0.66
2020-09-09,0.65
2020-09-10,0.65
2020-09-11,0.645
2020-09-14,0.64
2020-09-15,0.63
2020-09-16,0.595
2020-09-17,0.595
2020-09-18,0.585
2020-09-21,0.585
2020-09-22,0.595
2020-09-23,0.59
2020-09-24,0.585
2020-09-25,0.605
2020-09-28,0.605
2020-09-29,0.605
2020-09-30,0.59
2020-10-01,0.59
2020-10-02,0.59
2020-10-05,0.585
2020-10-06,0.58
2020-10-07,0.575
2020-10-08,0.575
2020-10-09,0.575
2020-10-12,0.54
2020-10-13,0.535
2020-10-14,0.53
2020-10-15,0.515
2020-10-16,0.5
2020-10-19,0.49
2020-10-20,0.5
2020-10-21,0.505
2020-10-22,0.51
2020-10-23,0.505
2020-10-26,0.505
2020-10-27,0.5
2020-10-28,0.495
2020-10-29,0.495
2020-10-30,0.505
2020-11-02,0.51
2020-11-03,0.505
2020-11-04,0.5
