指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"17,222.35",-,344.31,-1.96,,2021-05-03
發行量加權股價指數,"16,933.78",-,288.57,-1.68,,2021-05-04
發行量加權股價指數,"16,843.44",-,90.34,-0.53,,2021-05-05
發行量加權股價指數,"16,994.36",+,150.92,0.90,,2021-05-06
發行量加權股價指數,"17,285.00",+,290.64,1.71,,2021-05-07
發行量加權股價指數,"17,235.61",-,49.39,-0.29,,2021-05-10
發行量加權股價指數,"16,583.13",-,652.48,-3.79,,2021-05-11
發行量加權股價指數,"15,902.37",-,680.76,-4.11,,2021-05-12
發行量加權股價指數,"15,670.10",-,232.27,-1.46,,2021-05-13
發行量加權股價指數,"15,827.09",+,156.99,1.00,,2021-05-14
發行量加權股價指數,"15,353.89",-,473.20,-2.99,,2021-05-17
發行量加權股價指數,"16,145.98",+,792.09,5.16,,2021-05-18
發行量加權股價指數,"16,132.66",-,13.32,-0.08,,2021-05-19
發行量加權股價指數,"16,042.36",-,90.30,-0.56,,2021-05-20
發行量加權股價指數,"16,302.06",+,259.70,1.62,,2021-05-21
發行量加權股價指數,"16,338.29",+,36.23,0.22,,2021-05-24
發行量加權股價指數,"16,595.67",+,257.38,1.58,,2021-05-25
發行量加權股價指數,"16,643.69",+,48.02,0.29,,2021-05-26
發行量加權股價指數,"16,601.61",-,42.08,-0.25,,2021-05-27
發行量加權股價指數,"16,870.86",+,269.25,1.62,,2021-05-28
發行量加權股價指數,"17,068.43",+,197.57,1.17,,2021-05-31
