指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"14,224.12",+,86.43,0.61,,2023-01-03
發行量加權股價指數,"14,199.13",-,24.99,-0.18,,2023-01-04
發行量加權股價指數,"14,301.05",+,101.92,0.72,,2023-01-05
發行量加權股價指數,"14,373.34",+,72.29,0.51,,2023-01-06
發行量加權股價指數,"14,752.21",+,378.87,2.64,,2023-01-09
發行量加權股價指數,"14,802.96",+,50.75,0.34,,2023-01-10
發行量加權股價指數,"14,751.44",-,51.52,-0.35,,2023-01-11
發行量加權股價指數,"14,731.64",-,19.80,-0.13,,2023-01-12
發行量加權股價指數,"14,824.13",+,92.49,0.63,,2023-01-13
發行量加權股價指數,"14,927.01",+,102.88,0.69,,2023-01-16
發行量加權股價指數,"14,932.93",+,5.92,0.04,,2023-01-17
發行量加權股價指數,"15,493.82",+,560.89,3.76,,2023-01-30
發行量加權股價指數,"15,265.20",-,228.62,-1.48,,2023-01-31
