指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"16,571.28",+,140.15,0.85,,2021-04-01
發行量加權股價指數,"16,739.87",+,168.59,1.02,,2021-04-06
發行量加權股價指數,"16,815.36",+,75.49,0.45,,2021-04-07
發行量加權股價指數,"16,926.44",+,111.08,0.66,,2021-04-08
發行量加權股價指數,"16,854.10",-,72.34,-0.43,,2021-04-09
發行量加權股價指數,"16,859.70",+,5.60,0.03,,2021-04-12
發行量加權股價指數,"16,824.91",-,34.79,-0.21,,2021-04-13
發行量加權股價指數,"16,865.97",+,41.06,0.24,,2021-04-14
發行量加權股價指數,"17,076.73",+,210.76,1.25,,2021-04-15
發行量加權股價指數,"17,158.81",+,82.08,0.48,,2021-04-16
發行量加權股價指數,"17,263.28",+,104.47,0.61,,2021-04-19
發行量加權股價指數,"17,323.87",+,60.59,0.35,,2021-04-20
發行量加權股價指數,"17,202.11",-,121.76,-0.70,,2021-04-21
發行量加權股價指數,"17,096.97",-,105.14,-0.61,,2021-04-22
發行量加權股價指數,"17,300.27",+,203.30,1.19,,2021-04-23
發行量加權股價指數,"17,572.29",+,272.02,1.57,,2021-04-26
發行量加權股價指數,"17,595.90",+,23.61,0.13,,2021-04-27
發行量加權股價指數,"17,567.53",-,28.37,-0.16,,2021-04-28
發行量加權股價指數,"17,566.66",-,0.87,--,,2021-04-29
