指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,399.53",+,40.82,0.36,,2019-11-01
發行量加權股價指數,"11,556.85",+,157.32,1.38,,2019-11-04
發行量加權股價指數,"11,644.03",+,87.18,0.75,,2019-11-05
發行量加權股價指數,"11,653.07",+,9.04,0.08,,2019-11-06
發行量加權股價指數,"11,606.56",-,46.51,-0.40,,2019-11-07
發行量加權股價指數,"11,579.54",-,27.02,-0.23,,2019-11-08
發行量加權股價指數,"11,427.28",-,152.26,-1.31,,2019-11-11
發行量加權股價指數,"11,520.37",+,93.09,0.81,,2019-11-12
發行量加權股價指數,"11,467.83",-,52.54,-0.46,,2019-11-13
發行量加權股價指數,"11,450.42",-,17.41,-0.15,,2019-11-14
發行量加權股價指數,"11,525.60",+,75.18,0.66,,2019-11-15
發行量加權股價指數,"11,599.78",+,74.18,0.64,,2019-11-18
發行量加權股價指數,"11,656.40",+,56.62,0.49,,2019-11-19
發行量加權股價指數,"11,631.20",-,25.20,-0.22,,2019-11-20
發行量加權股價指數,"11,558.27",-,72.93,-0.63,,2019-11-21
發行量加權股價指數,"11,566.80",+,8.53,0.07,,2019-11-22
發行量加權股價指數,"11,561.58",-,5.22,-0.05,,2019-11-25
發行量加權股價指數,"11,576.82",+,15.24,0.13,,2019-11-26
發行量加權股價指數,"11,647.46",+,70.64,0.61,,2019-11-27
發行量加權股價指數,"11,617.08",-,30.38,-0.26,,2019-11-28
發行量加權股價指數,"11,489.57",-,127.51,-1.10,,2019-11-29
