指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,502.83",+,13.26,0.12,,2019-12-02
發行量加權股價指數,"11,531.58",+,28.75,0.25,,2019-12-03
發行量加權股價指數,"11,510.47",-,21.11,-0.18,,2019-12-04
發行量加權股價指數,"11,594.65",+,84.18,0.73,,2019-12-05
發行量加權股價指數,"11,609.64",+,14.99,0.13,,2019-12-06
發行量加權股價指數,"11,660.77",+,51.13,0.44,,2019-12-09
發行量加權股價指數,"11,627.84",-,32.93,-0.28,,2019-12-10
發行量加權股價指數,"11,700.77",+,72.93,0.63,,2019-12-11
發行量加權股價指數,"11,836.42",+,135.65,1.16,,2019-12-12
發行量加權股價指數,"11,927.73",+,91.31,0.77,,2019-12-13
發行量加權股價指數,"11,939.77",+,12.04,0.10,,2019-12-16
發行量加權股價指數,"12,097.01",+,157.24,1.32,,2019-12-17
發行量加權股價指數,"12,122.45",+,25.44,0.21,,2019-12-18
發行量加權股價指數,"12,018.90",-,103.55,-0.85,,2019-12-19
發行量加權股價指數,"11,959.08",-,59.82,-0.50,,2019-12-20
發行量加權股價指數,"12,022.23",+,63.15,0.53,,2019-12-23
發行量加權股價指數,"11,976.38",-,45.85,-0.38,,2019-12-24
發行量加權股價指數,"12,008.13",+,31.75,0.27,,2019-12-25
發行量加權股價指數,"12,001.01",-,7.12,-0.06,,2019-12-26
發行量加權股價指數,"12,091.59",+,90.58,0.75,,2019-12-27
發行量加權股價指數,"12,053.37",-,38.22,-0.32,,2019-12-30
發行量加權股價指數,"11,997.14",-,56.23,-0.47,,2019-12-31
