指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,004.25",+,71.99,0.72,,2019-02-11
發行量加權股價指數,"10,097.74",+,93.49,0.93,,2019-02-12
發行量加權股價指數,"10,090.58",-,7.16,-0.07,,2019-02-13
發行量加權股價指數,"10,089.01",-,1.57,-0.02,,2019-02-14
發行量加權股價指數,"10,064.78",-,24.23,-0.24,,2019-02-15
發行量加權股價指數,"10,145.28",+,80.50,0.80,,2019-02-18
發行量加權股價指數,"10,152.26",+,6.98,0.07,,2019-02-19
發行量加權股價指數,"10,272.46",+,120.20,1.18,,2019-02-20
發行量加權股價指數,"10,319.53",+,47.07,0.46,,2019-02-21
發行量加權股價指數,"10,322.92",+,3.39,0.03,,2019-02-22
發行量加權股價指數,"10,390.93",+,68.01,0.66,,2019-02-25
發行量加權股價指數,"10,391.55",+,0.62,0.01,,2019-02-26
發行量加權股價指數,"10,389.17",-,2.38,-0.02,,2019-02-27
