指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"17,503.28",+,255.87,1.48,,2021-08-02
發行量加權股價指數,"17,553.76",+,50.48,0.29,,2021-08-03
發行量加權股價指數,"17,623.89",+,70.13,0.40,,2021-08-04
發行量加權股價指數,"17,603.12",-,20.77,-0.12,,2021-08-05
發行量加權股價指數,"17,526.28",-,76.84,-0.44,,2021-08-06
發行量加權股價指數,"17,485.15",-,41.13,-0.23,,2021-08-09
發行量加權股價指數,"17,323.64",-,161.51,-0.92,,2021-08-10
發行量加權股價指數,"17,227.18",-,96.46,-0.56,,2021-08-11
發行量加權股價指數,"17,219.94",-,7.24,-0.04,,2021-08-12
發行量加權股價指數,"16,982.11",-,237.83,-1.38,,2021-08-13
發行量加權股價指數,"16,858.77",-,123.34,-0.73,,2021-08-16
發行量加權股價指數,"16,661.36",-,197.41,-1.17,,2021-08-17
發行量加權股價指數,"16,826.27",+,164.91,0.99,,2021-08-18
發行量加權股價指數,"16,375.40",-,450.87,-2.68,,2021-08-19
發行量加權股價指數,"16,341.94",-,33.46,-0.20,,2021-08-20
發行量加權股價指數,"16,741.84",+,399.90,2.45,,2021-08-23
發行量加權股價指數,"16,818.73",+,76.89,0.46,,2021-08-24
發行量加權股價指數,"17,045.86",+,227.13,1.35,,2021-08-25
發行量加權股價指數,"17,066.96",+,21.10,0.12,,2021-08-26
發行量加權股價指數,"17,209.93",+,142.97,0.84,,2021-08-27
發行量加權股價指數,"17,396.52",+,186.59,1.08,,2021-08-30
發行量加權股價指數,"17,490.29",+,93.77,0.54,,2021-08-31
