指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"17,900.30",+,225.90,1.28,,2022-02-07
發行量加權股價指數,"17,966.56",+,66.26,0.37,,2022-02-08
發行量加權股價指數,"18,151.76",+,185.20,1.03,,2022-02-09
發行量加權股價指數,"18,338.05",+,186.29,1.03,,2022-02-10
發行量加權股價指數,"18,310.94",-,27.11,-0.15,,2022-02-11
發行量加權股價指數,"17,997.67",-,313.27,-1.71,,2022-02-14
發行量加權股價指數,"17,951.81",-,45.86,-0.25,,2022-02-15
發行量加權股價指數,"18,231.47",+,279.66,1.56,,2022-02-16
發行量加權股價指數,"18,268.57",+,37.10,0.20,,2022-02-17
發行量加權股價指數,"18,232.35",-,36.22,-0.20,,2022-02-18
發行量加權股價指數,"18,221.49",-,10.86,-0.06,,2022-02-21
發行量加權股價指數,"17,969.29",-,252.20,-1.38,,2022-02-22
發行量加權股價指數,"18,055.73",+,86.44,0.48,,2022-02-23
發行量加權股價指數,"17,594.55",-,461.18,-2.55,,2022-02-24
發行量加權股價指數,"17,652.18",+,57.63,0.33,,2022-02-25
