指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,634.85",+,16.80,0.16,,2019-09-02
發行量加權股價指數,"10,558.21",-,76.64,-0.72,,2019-09-03
發行量加權股價指數,"10,657.31",+,99.10,0.94,,2019-09-04
發行量加權股價指數,"10,756.93",+,99.62,0.93,,2019-09-05
發行量加權股價指數,"10,780.64",+,23.71,0.22,,2019-09-06
發行量加權股價指數,"10,801.14",+,20.50,0.19,,2019-09-09
發行量加權股價指數,"10,753.58",-,47.56,-0.44,,2019-09-10
發行量加權股價指數,"10,790.35",+,36.77,0.34,,2019-09-11
發行量加權股價指數,"10,827.55",+,37.20,0.34,,2019-09-12
發行量加權股價指數,"10,898.13",+,70.58,0.65,,2019-09-16
發行量加權股價指數,"10,874.50",-,23.63,-0.22,,2019-09-17
發行量加權股價指數,"10,929.45",+,54.95,0.51,,2019-09-18
發行量加權股價指數,"10,894.70",-,34.75,-0.32,,2019-09-19
發行量加權股價指數,"10,929.69",+,34.99,0.32,,2019-09-20
發行量加權股價指數,"10,919.02",-,10.67,-0.10,,2019-09-23
發行量加權股價指數,"10,918.01",-,1.01,-0.01,,2019-09-24
發行量加權股價指數,"10,873.69",-,44.32,-0.41,,2019-09-25
發行量加權股價指數,"10,871.99",-,1.70,-0.02,,2019-09-26
發行量加權股價指數,"10,829.68",-,42.31,-0.39,,2019-09-27
