指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"16,570.89",-,363.88,-2.15,,2021-10-01
發行量加權股價指數,"16,408.35",-,162.54,-0.98,,2021-10-04
發行量加權股價指數,"16,460.75",+,52.40,0.32,,2021-10-05
發行量加權股價指數,"16,393.16",-,67.59,-0.41,,2021-10-06
發行量加權股價指數,"16,713.86",+,320.70,1.96,,2021-10-07
發行量加權股價指數,"16,640.43",-,73.43,-0.44,,2021-10-08
發行量加權股價指數,"16,462.84",-,177.59,-1.07,,2021-10-12
發行量加權股價指數,"16,347.99",-,114.85,-0.70,,2021-10-13
發行量加權股價指數,"16,387.28",+,39.29,0.24,,2021-10-14
發行量加權股價指數,"16,781.19",+,393.91,2.40,,2021-10-15
發行量加權股價指數,"16,705.46",-,75.73,-0.45,,2021-10-18
發行量加權股價指數,"16,900.67",+,195.21,1.17,,2021-10-19
發行量加權股價指數,"16,887.82",-,12.85,-0.08,,2021-10-20
發行量加權股價指數,"16,889.51",+,1.69,0.01,,2021-10-21
發行量加權股價指數,"16,888.74",-,0.77,--,,2021-10-22
發行量加權股價指數,"16,894.24",+,5.50,0.03,,2021-10-25
發行量加權股價指數,"17,034.34",+,140.10,0.83,,2021-10-26
發行量加權股價指數,"17,074.55",+,40.21,0.24,,2021-10-27
發行量加權股價指數,"17,041.63",-,32.92,-0.19,,2021-10-28
發行量加權股價指數,"16,987.41",-,54.22,-0.32,,2021-10-29
