指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"9,554.14",-,173.27,-1.78,,2019-01-02
發行量加權股價指數,"9,492.42",-,61.72,-0.65,,2019-01-03
發行量加權股價指數,"9,382.51",-,109.91,-1.16,,2019-01-04
發行量加權股價指數,"9,590.30",+,207.79,2.21,,2019-01-07
發行量加權股價指數,"9,563.60",-,26.70,-0.28,,2019-01-08
發行量加權股價指數,"9,738.31",+,174.71,1.83,,2019-01-09
發行量加權股價指數,"9,720.69",-,17.62,-0.18,,2019-01-10
發行量加權股價指數,"9,759.40",+,38.71,0.40,,2019-01-11
發行量加權股價指數,"9,708.22",-,51.18,-0.52,,2019-01-14
發行量加權股價指數,"9,806.04",+,97.82,1.01,,2019-01-15
發行量加權股價指數,"9,763.81",-,42.23,-0.43,,2019-01-16
發行量加權股價指數,"9,789.15",+,25.34,0.26,,2019-01-17
發行量加權股價指數,"9,836.06",+,46.91,0.48,,2019-01-18
發行量加權股價指數,"9,889.40",+,53.34,0.54,,2019-01-21
發行量加權股價指數,"9,894.66",+,5.26,0.05,,2019-01-22
發行量加權股價指數,"9,846.40",-,48.26,-0.49,,2019-01-23
發行量加權股價指數,"9,877.12",+,30.72,0.31,,2019-01-24
發行量加權股價指數,"9,969.61",+,92.49,0.94,,2019-01-25
發行量加權股價指數,"10,013.33",+,43.72,0.44,,2019-01-28
發行量加權股價指數,"9,931.59",-,81.74,-0.82,,2019-01-29
發行量加權股價指數,"9,932.26",+,0.67,0.01,,2019-01-30
