指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"15,810.77",-,57.29,-0.36,,2023-04-06
發行量加權股價指數,"15,836.50",+,25.73,0.16,,2023-04-07
發行量加權股價指數,"15,876.17",+,39.67,0.25,,2023-04-10
發行量加權股價指數,"15,913.88",+,37.71,0.24,,2023-04-11
發行量加權股價指數,"15,932.97",+,19.09,0.12,,2023-04-12
發行量加權股價指數,"15,804.76",-,128.21,-0.80,,2023-04-13
發行量加權股價指數,"15,929.43",+,124.67,0.79,,2023-04-14
發行量加權股價指數,"15,963.55",+,34.12,0.21,,2023-04-17
發行量加權股價指數,"15,869.44",-,94.11,-0.59,,2023-04-18
發行量加權股價指數,"15,770.47",-,98.97,-0.62,,2023-04-19
發行量加權股價指數,"15,707.52",-,62.95,-0.40,,2023-04-20
發行量加權股價指數,"15,602.99",-,104.53,-0.67,,2023-04-21
發行量加權股價指數,"15,626.87",+,23.88,0.15,,2023-04-24
發行量加權股價指數,"15,370.73",-,256.14,-1.64,,2023-04-25
發行量加權股價指數,"15,374.63",+,3.90,0.03,,2023-04-26
發行量加權股價指數,"15,411.49",+,36.86,0.24,,2023-04-27
發行量加權股價指數,"15,579.18",+,167.69,1.09,,2023-04-28
