指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"9,663.63",-,44.43,-0.46,,2020-04-01
發行量加權股價指數,"9,818.74",+,155.11,1.61,,2020-04-06
發行量加權股價指數,"9,996.39",+,177.65,1.81,,2020-04-07
發行量加權股價指數,"10,137.47",+,141.08,1.41,,2020-04-08
發行量加權股價指數,"10,119.43",-,18.04,-0.18,,2020-04-09
發行量加權股價指數,"10,157.61",+,38.18,0.38,,2020-04-10
發行量加權股價指數,"10,099.22",-,58.39,-0.57,,2020-04-13
發行量加權股價指數,"10,332.94",+,233.72,2.31,,2020-04-14
發行量加權股價指數,"10,447.21",+,114.27,1.11,,2020-04-15
發行量加權股價指數,"10,375.48",-,71.73,-0.69,,2020-04-16
發行量加權股價指數,"10,597.04",+,221.56,2.14,,2020-04-17
發行量加權股價指數,"10,586.71",-,10.33,-0.10,,2020-04-20
發行量加權股價指數,"10,288.42",-,298.29,-2.82,,2020-04-21
發行量加權股價指數,"10,307.74",+,19.32,0.19,,2020-04-22
發行量加權股價指數,"10,366.51",+,58.77,0.57,,2020-04-23
發行量加權股價指數,"10,347.36",-,19.15,-0.18,,2020-04-24
發行量加權股價指數,"10,567.27",+,219.91,2.13,,2020-04-27
發行量加權股價指數,"10,616.06",+,48.79,0.46,,2020-04-28
發行量加權股價指數,"10,772.22",+,156.16,1.47,,2020-04-29
發行量加權股價指數,"10,992.14",+,219.92,2.04,,2020-04-30
