指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,703.42",+,82.18,0.71,,2020-07-01
發行量加權股價指數,"11,805.14",+,101.72,0.87,,2020-07-02
發行量加權股價指數,"11,909.16",+,104.02,0.88,,2020-07-03
發行量加權股價指數,"12,116.70",+,207.54,1.74,,2020-07-06
發行量加權股價指數,"12,092.97",-,23.73,-0.20,,2020-07-07
發行量加權股價指數,"12,170.19",+,77.22,0.64,,2020-07-08
發行量加權股價指數,"12,192.69",+,22.50,0.18,,2020-07-09
發行量加權股價指數,"12,073.68",-,119.01,-0.98,,2020-07-10
發行量加權股價指數,"12,211.56",+,137.88,1.14,,2020-07-13
發行量加權股價指數,"12,209.01",-,2.55,-0.02,,2020-07-14
發行量加權股價指數,"12,202.85",-,6.16,-0.05,,2020-07-15
發行量加權股價指數,"12,157.74",-,45.11,-0.37,,2020-07-16
發行量加權股價指數,"12,181.56",+,23.82,0.20,,2020-07-17
發行量加權股價指數,"12,174.54",-,7.02,-0.06,,2020-07-20
發行量加權股價指數,"12,397.55",+,223.01,1.83,,2020-07-21
發行量加權股價指數,"12,473.27",+,75.72,0.61,,2020-07-22
發行量加權股價指數,"12,413.04",-,60.23,-0.48,,2020-07-23
發行量加權股價指數,"12,304.04",-,109.00,-0.88,,2020-07-24
發行量加權股價指數,"12,588.30",+,284.26,2.31,,2020-07-27
發行量加權股價指數,"12,586.73",-,1.57,-0.01,,2020-07-28
發行量加權股價指數,"12,540.97",-,45.76,-0.36,,2020-07-29
發行量加權股價指數,"12,722.92",+,181.95,1.45,,2020-07-30
發行量加權股價指數,"12,664.80",-,58.12,-0.46,,2020-07-31
