指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,967.65",+,137.97,1.27,,2019-10-01
發行量加權股價指數,"10,947.88",-,19.77,-0.18,,2019-10-02
發行量加權股價指數,"10,875.91",-,71.97,-0.66,,2019-10-03
發行量加權股價指數,"10,894.48",+,18.57,0.17,,2019-10-04
發行量加權股價指數,"10,935.06",+,40.58,0.37,,2019-10-07
發行量加權股價指數,"11,017.31",+,82.25,0.75,,2019-10-08
發行量加權股價指數,"10,889.96",-,127.35,-1.16,,2019-10-09
發行量加權股價指數,"11,066.95",+,176.99,1.63,,2019-10-14
發行量加權股價指數,"11,111.80",+,44.85,0.41,,2019-10-15
發行量加權股價指數,"11,162.83",+,51.03,0.46,,2019-10-16
發行量加權股價指數,"11,186.88",+,24.05,0.22,,2019-10-17
發行量加權股價指數,"11,180.22",-,6.66,-0.06,,2019-10-18
發行量加權股價指數,"11,184.15",+,3.93,0.04,,2019-10-21
發行量加權股價指數,"11,271.25",+,87.10,0.78,,2019-10-22
發行量加權股價指數,"11,239.67",-,31.58,-0.28,,2019-10-23
發行量加權股價指數,"11,320.14",+,80.47,0.72,,2019-10-24
發行量加權股價指數,"11,296.12",-,24.02,-0.21,,2019-10-25
發行量加權股價指數,"11,315.02",+,18.90,0.17,,2019-10-28
發行量加權股價指數,"11,333.87",+,18.85,0.17,,2019-10-29
發行量加權股價指數,"11,380.28",+,46.41,0.41,,2019-10-30
發行量加權股價指數,"11,358.71",-,21.57,-0.19,,2019-10-31
