指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"13,300.48",-,124.10,-0.92,,2022-10-03
發行量加權股價指數,"13,576.52",+,276.04,2.08,,2022-10-04
發行量加權股價指數,"13,801.43",+,224.91,1.66,,2022-10-05
發行量加權股價指數,"13,892.05",+,90.62,0.66,,2022-10-06
發行量加權股價指數,"13,702.28",-,189.77,-1.37,,2022-10-07
發行量加權股價指數,"13,106.03",-,596.25,-4.35,,2022-10-11
發行量加權股價指數,"13,081.24",-,24.79,-0.19,,2022-10-12
發行量加權股價指數,"12,810.73",-,270.51,-2.07,,2022-10-13
發行量加權股價指數,"13,128.12",+,317.39,2.48,,2022-10-14
發行量加權股價指數,"12,966.05",-,162.07,-1.23,,2022-10-17
發行量加權股價指數,"13,124.68",+,158.63,1.22,,2022-10-18
發行量加權股價指數,"12,976.76",-,147.92,-1.13,,2022-10-19
發行量加權股價指數,"12,946.10",-,30.66,-0.24,,2022-10-20
發行量加權股價指數,"12,819.20",-,126.90,-0.98,,2022-10-21
發行量加權股價指數,"12,856.98",+,37.78,0.29,,2022-10-24
發行量加權股價指數,"12,666.12",-,190.86,-1.48,,2022-10-25
發行量加權股價指數,"12,729.05",+,62.93,0.50,,2022-10-26
發行量加權股價指數,"12,926.37",+,197.32,1.55,,2022-10-27
發行量加權股價指數,"12,788.42",-,137.95,-1.07,,2022-10-28
發行量加權股價指數,"12,949.75",+,161.33,1.26,,2022-10-31
