指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"15,420.13",+,154.93,1.01,,2023-02-01
發行量加權股價指數,"15,595.16",+,175.03,1.14,,2023-02-02
發行量加權股價指數,"15,602.66",+,7.50,0.05,,2023-02-03
發行量加權股價指數,"15,392.82",-,209.84,-1.34,,2023-02-06
發行量加權股價指數,"15,400.91",+,8.09,0.05,,2023-02-07
發行量加權股價指數,"15,618.17",+,217.26,1.41,,2023-02-08
發行量加權股價指數,"15,598.71",-,19.46,-0.12,,2023-02-09
發行量加權股價指數,"15,586.65",-,12.06,-0.08,,2023-02-10
發行量加權股價指數,"15,544.28",-,42.37,-0.27,,2023-02-13
發行量加權股價指數,"15,654.48",+,110.20,0.71,,2023-02-14
發行量加權股價指數,"15,432.89",-,221.59,-1.42,,2023-02-15
發行量加權股價指數,"15,550.50",+,117.61,0.76,,2023-02-16
發行量加權股價指數,"15,479.70",-,70.80,-0.46,,2023-02-17
發行量加權股價指數,"15,551.23",+,71.53,0.46,,2023-02-20
發行量加權股價指數,"15,563.00",+,11.77,0.08,,2023-02-21
發行量加權股價指數,"15,418.77",-,144.23,-0.93,,2023-02-22
發行量加權股價指數,"15,615.41",+,196.64,1.28,,2023-02-23
發行量加權股價指數,"15,503.79",-,111.62,-0.71,,2023-02-24
