指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,079.02",+,136.86,1.25,,2020-06-01
發行量加權股價指數,"11,127.93",+,48.91,0.44,,2020-06-02
發行量加權股價指數,"11,320.16",+,192.23,1.73,,2020-06-03
發行量加權股價指數,"11,393.23",+,73.07,0.65,,2020-06-04
發行量加權股價指數,"11,479.40",+,86.17,0.76,,2020-06-05
發行量加權股價指數,"11,610.32",+,130.92,1.14,,2020-06-08
發行量加權股價指數,"11,637.11",+,26.79,0.23,,2020-06-09
發行量加權股價指數,"11,720.16",+,83.05,0.71,,2020-06-10
發行量加權股價指數,"11,535.77",-,184.39,-1.57,,2020-06-11
發行量加權股價指數,"11,429.94",-,105.83,-0.92,,2020-06-12
發行量加權股價指數,"11,306.26",-,123.68,-1.08,,2020-06-15
發行量加權股價指數,"11,511.64",+,205.38,1.82,,2020-06-16
發行量加權股價指數,"11,534.59",+,22.95,0.20,,2020-06-17
發行量加權股價指數,"11,548.33",+,13.74,0.12,,2020-06-18
發行量加權股價指數,"11,549.86",+,1.53,0.01,,2020-06-19
發行量加權股價指數,"11,572.93",+,23.07,0.20,,2020-06-22
發行量加權股價指數,"11,612.36",+,39.43,0.34,,2020-06-23
發行量加權股價指數,"11,660.67",+,48.31,0.42,,2020-06-24
發行量加權股價指數,"11,542.62",-,118.05,-1.01,,2020-06-29
發行量加權股價指數,"11,621.24",+,78.62,0.68,,2020-06-30
