指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"15,012.80",+,133.25,0.90,,2022-12-01
發行量加權股價指數,"14,970.68",-,42.12,-0.28,,2022-12-02
發行量加權股價指數,"14,980.74",+,10.06,0.07,,2022-12-05
發行量加權股價指數,"14,728.88",-,251.86,-1.68,,2022-12-06
發行量加權股價指數,"14,630.01",-,98.87,-0.67,,2022-12-07
發行量加權股價指數,"14,553.04",-,76.97,-0.53,,2022-12-08
發行量加權股價指數,"14,705.43",+,152.39,1.05,,2022-12-09
發行量加權股價指數,"14,612.59",-,92.84,-0.63,,2022-12-12
發行量加權股價指數,"14,522.96",-,89.63,-0.61,,2022-12-13
發行量加權股價指數,"14,739.36",+,216.40,1.49,,2022-12-14
發行量加權股價指數,"14,734.13",-,5.23,-0.04,,2022-12-15
發行量加權股價指數,"14,528.55",-,205.58,-1.40,,2022-12-16
發行量加權股價指數,"14,433.32",-,95.23,-0.66,,2022-12-19
發行量加權股價指數,"14,170.03",-,263.29,-1.82,,2022-12-20
發行量加權股價指數,"14,234.40",+,64.37,0.45,,2022-12-21
發行量加權股價指數,"14,442.94",+,208.54,1.47,,2022-12-22
發行量加權股價指數,"14,271.63",-,171.31,-1.19,,2022-12-23
發行量加權股價指數,"14,285.13",+,13.50,0.09,,2022-12-26
發行量加權股價指數,"14,328.43",+,43.30,0.30,,2022-12-27
發行量加權股價指數,"14,173.10",-,155.33,-1.08,,2022-12-28
發行量加權股價指數,"14,085.02",-,88.08,-0.62,,2022-12-29
發行量加權股價指數,"14,137.69",+,52.67,0.37,,2022-12-30
