指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,004.49",+,36.76,0.34,,2019-05-02
發行量加權股價指數,"11,096.30",+,91.81,0.83,,2019-05-03
發行量加權股價指數,"10,897.12",-,199.18,-1.80,,2019-05-06
發行量加權股價指數,"10,987.14",+,90.02,0.83,,2019-05-07
發行量加權股價指數,"10,923.71",-,63.43,-0.58,,2019-05-08
發行量加權股價指數,"10,733.67",-,190.04,-1.74,,2019-05-09
發行量加權股價指數,"10,712.99",-,20.68,-0.19,,2019-05-10
發行量加權股價指數,"10,558.29",-,154.70,-1.44,,2019-05-13
發行量加權股價指數,"10,519.25",-,39.04,-0.37,,2019-05-14
發行量加權股價指數,"10,560.71",+,41.46,0.39,,2019-05-15
發行量加權股價指數,"10,474.61",-,86.10,-0.82,,2019-05-16
發行量加權股價指數,"10,384.11",-,90.50,-0.86,,2019-05-17
發行量加權股價指數,"10,398.41",+,14.30,0.14,,2019-05-20
發行量加權股價指數,"10,464.50",+,66.09,0.64,,2019-05-21
發行量加權股價指數,"10,457.22",-,7.28,-0.07,,2019-05-22
發行量加權股價指數,"10,308.37",-,148.85,-1.42,,2019-05-23
發行量加權股價指數,"10,328.28",+,19.91,0.19,,2019-05-24
發行量加權股價指數,"10,334.13",+,5.85,0.06,,2019-05-27
發行量加權股價指數,"10,312.31",-,21.82,-0.21,,2019-05-28
發行量加權股價指數,"10,301.78",-,10.53,-0.10,,2019-05-29
發行量加權股價指數,"10,382.99",+,81.21,0.79,,2019-05-30
發行量加權股價指數,"10,498.49",+,115.50,1.11,,2019-05-31
