指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,170.46",-,121.71,-1.08,,2020-03-02
發行量加權股價指數,"11,327.72",+,157.26,1.41,,2020-03-03
發行量加權股價指數,"11,392.35",+,64.63,0.57,,2020-03-04
發行量加權股價指數,"11,514.82",+,122.47,1.08,,2020-03-05
發行量加權股價指數,"11,321.81",-,193.01,-1.68,,2020-03-06
發行量加權股價指數,"10,977.64",-,344.17,-3.04,,2020-03-09
發行量加權股價指數,"11,003.54",+,25.90,0.24,,2020-03-10
發行量加權股價指數,"10,893.75",-,109.79,-1.00,,2020-03-11
發行量加權股價指數,"10,422.32",-,471.43,-4.33,,2020-03-12
發行量加權股價指數,"10,128.87",-,293.45,-2.82,,2020-03-13
發行量加權股價指數,"9,717.77",-,411.10,-4.06,,2020-03-16
發行量加權股價指數,"9,439.63",-,278.14,-2.86,,2020-03-17
發行量加權股價指數,"9,218.67",-,220.96,-2.34,,2020-03-18
發行量加權股價指數,"8,681.34",-,537.33,-5.83,,2020-03-19
發行量加權股價指數,"9,234.09",+,552.75,6.37,,2020-03-20
發行量加權股價指數,"8,890.03",-,344.06,-3.73,,2020-03-23
發行量加權股價指數,"9,285.62",+,395.59,4.45,,2020-03-24
發行量加權股價指數,"9,644.75",+,359.13,3.87,,2020-03-25
發行量加權股價指數,"9,736.36",+,91.61,0.95,,2020-03-26
發行量加權股價指數,"9,698.92",-,37.44,-0.38,,2020-03-27
發行量加權股價指數,"9,629.43",-,69.49,-0.72,,2020-03-30
發行量加權股價指數,"9,708.06",+,78.63,0.82,,2020-03-31
