指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"15,598.49",+,94.70,0.61,,2023-03-01
發行量加權股價指數,"15,598.72",+,0.23,--,,2023-03-02
發行量加權股價指數,"15,608.42",+,9.70,0.06,,2023-03-03
發行量加權股價指數,"15,763.51",+,155.09,0.99,,2023-03-06
發行量加權股價指數,"15,857.89",+,94.38,0.60,,2023-03-07
發行量加權股價指數,"15,818.20",-,39.69,-0.25,,2023-03-08
發行量加權股價指數,"15,770.66",-,47.54,-0.30,,2023-03-09
發行量加權股價指數,"15,526.20",-,244.46,-1.55,,2023-03-10
發行量加權股價指數,"15,560.49",+,34.29,0.22,,2023-03-13
發行量加權股價指數,"15,360.42",-,200.07,-1.29,,2023-03-14
發行量加權股價指數,"15,387.59",+,27.17,0.18,,2023-03-15
發行量加權股價指數,"15,221.12",-,166.47,-1.08,,2023-03-16
發行量加權股價指數,"15,452.96",+,231.84,1.52,,2023-03-17
發行量加權股價指數,"15,419.97",-,32.99,-0.21,,2023-03-20
發行量加權股價指數,"15,513.45",+,93.48,0.61,,2023-03-21
發行量加權股價指數,"15,760.46",+,247.01,1.59,,2023-03-22
發行量加權股價指數,"15,863.95",+,103.49,0.66,,2023-03-23
發行量加權股價指數,"15,914.70",+,50.75,0.32,,2023-03-24
發行量加權股價指數,"15,830.31",-,84.39,-0.53,,2023-03-27
發行量加權股價指數,"15,701.48",-,128.83,-0.81,,2023-03-28
發行量加權股價指數,"15,769.76",+,68.28,0.43,,2023-03-29
發行量加權股價指數,"15,849.43",+,79.67,0.51,,2023-03-30
發行量加權股價指數,"15,868.06",+,18.63,0.12,,2023-03-31
