指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,500.07",+,1.58,0.02,,2019-06-03
發行量加權股價指數,"10,429.12",-,70.95,-0.68,,2019-06-04
發行量加權股價指數,"10,461.62",+,32.50,0.31,,2019-06-05
發行量加權股價指數,"10,409.20",-,52.42,-0.50,,2019-06-06
發行量加權股價指數,"10,566.47",+,157.27,1.51,,2019-06-10
發行量加權股價指數,"10,607.76",+,41.29,0.39,,2019-06-11
發行量加權股價指數,"10,615.66",+,7.90,0.07,,2019-06-12
發行量加權股價指數,"10,561.01",-,54.65,-0.51,,2019-06-13
發行量加權股價指數,"10,524.67",-,36.34,-0.34,,2019-06-14
發行量加權股價指數,"10,530.54",+,5.87,0.06,,2019-06-17
發行量加權股價指數,"10,566.74",+,36.20,0.34,,2019-06-18
發行量加權股價指數,"10,775.34",+,208.60,1.97,,2019-06-19
發行量加權股價指數,"10,785.01",+,9.67,0.09,,2019-06-20
發行量加權股價指數,"10,803.77",+,18.76,0.17,,2019-06-21
發行量加權股價指數,"10,779.45",-,24.32,-0.23,,2019-06-24
發行量加權股價指數,"10,706.72",-,72.73,-0.67,,2019-06-25
發行量加權股價指數,"10,652.55",-,54.17,-0.51,,2019-06-26
發行量加權股價指數,"10,773.90",+,121.35,1.14,,2019-06-27
發行量加權股價指數,"10,730.83",-,43.07,-0.40,,2019-06-28
