指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,349.88",-,39.29,-0.38,,2019-03-04
發行量加權股價指數,"10,305.26",-,44.62,-0.43,,2019-03-05
發行量加權股價指數,"10,357.15",+,51.89,0.50,,2019-03-06
發行量加權股價指數,"10,311.68",-,45.47,-0.44,,2019-03-07
發行量加權股價指數,"10,241.75",-,69.93,-0.68,,2019-03-08
發行量加權股價指數,"10,250.28",+,8.53,0.08,,2019-03-11
發行量加權股價指數,"10,343.33",+,93.05,0.91,,2019-03-12
發行量加權股價指數,"10,373.32",+,29.99,0.29,,2019-03-13
發行量加權股價指數,"10,348.65",-,24.67,-0.24,,2019-03-14
發行量加權股價指數,"10,439.24",+,90.59,0.88,,2019-03-15
發行量加權股價指數,"10,512.70",+,73.46,0.70,,2019-03-18
發行量加權股價指數,"10,512.32",-,0.38,---,,2019-03-19
發行量加權股價指數,"10,551.56",+,39.24,0.37,,2019-03-20
發行量加權股價指數,"10,609.55",+,57.99,0.55,,2019-03-21
發行量加權股價指數,"10,639.07",+,29.52,0.28,,2019-03-22
發行量加權股價指數,"10,479.48",-,159.59,-1.50,,2019-03-25
發行量加權股價指數,"10,559.20",+,79.72,0.76,,2019-03-26
發行量加權股價指數,"10,542.70",-,16.50,-0.16,,2019-03-27
發行量加權股價指數,"10,536.26",-,6.44,-0.06,,2019-03-28
發行量加權股價指數,"10,641.04",+,104.78,0.99,,2019-03-29
