指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"12,591.31",+,44.97,0.36,,2020-11-02
發行量加權股價指數,"12,736.01",+,144.70,1.15,,2020-11-03
發行量加權股價指數,"12,867.90",+,131.89,1.04,,2020-11-04
發行量加權股價指數,"12,918.80",+,50.90,0.40,,2020-11-05
發行量加權股價指數,"12,973.53",+,54.73,0.42,,2020-11-06
發行量加權股價指數,"13,127.47",+,153.94,1.19,,2020-11-09
發行量加權股價指數,"13,081.72",-,45.75,-0.35,,2020-11-10
發行量加權股價指數,"13,262.19",+,180.47,1.38,,2020-11-11
發行量加權股價指數,"13,221.78",-,40.41,-0.30,,2020-11-12
發行量加權股價指數,"13,273.33",+,51.55,0.39,,2020-11-13
發行量加權股價指數,"13,551.83",+,278.50,2.10,,2020-11-16
發行量加權股價指數,"13,593.01",+,41.18,0.30,,2020-11-17
發行量加權股價指數,"13,773.29",+,180.28,1.33,,2020-11-18
發行量加權股價指數,"13,722.43",-,50.86,-0.37,,2020-11-19
發行量加權股價指數,"13,716.44",-,5.99,-0.04,,2020-11-20
發行量加權股價指數,"13,878.01",+,161.57,1.18,,2020-11-23
發行量加權股價指數,"13,807.13",-,70.88,-0.51,,2020-11-24
發行量加權股價指數,"13,738.83",-,68.30,-0.49,,2020-11-25
發行量加權股價指數,"13,845.66",+,106.83,0.78,,2020-11-26
發行量加權股價指數,"13,867.09",+,21.43,0.15,,2020-11-27
發行量加權股價指數,"13,722.89",-,144.20,-1.04,,2020-11-30
