指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"13,037.21",+,87.46,0.68,,2022-11-01
發行量加權股價指數,"13,100.17",+,62.96,0.48,,2022-11-02
發行量加權股價指數,"12,986.60",-,113.57,-0.87,,2022-11-03
發行量加權股價指數,"13,026.71",+,40.11,0.31,,2022-11-04
發行量加權股價指數,"13,223.73",+,197.02,1.51,,2022-11-07
發行量加權股價指數,"13,347.76",+,124.03,0.94,,2022-11-08
發行量加權股價指數,"13,638.81",+,291.05,2.18,,2022-11-09
發行量加權股價指數,"13,503.76",-,135.05,-0.99,,2022-11-10
發行量加權股價指數,"14,007.56",+,503.80,3.73,,2022-11-11
發行量加權股價指數,"14,174.90",+,167.34,1.19,,2022-11-14
發行量加權股價指數,"14,546.31",+,371.41,2.62,,2022-11-15
發行量加權股價指數,"14,537.35",-,8.96,-0.06,,2022-11-16
發行量加權股價指數,"14,535.23",-,2.12,-0.01,,2022-11-17
發行量加權股價指數,"14,504.99",-,30.24,-0.21,,2022-11-18
發行量加權股價指數,"14,449.39",-,55.60,-0.38,,2022-11-21
發行量加權股價指數,"14,542.20",+,92.81,0.64,,2022-11-22
發行量加權股價指數,"14,608.54",+,66.34,0.46,,2022-11-23
發行量加權股價指數,"14,784.00",+,175.46,1.20,,2022-11-24
發行量加權股價指數,"14,778.51",-,5.49,-0.04,,2022-11-25
發行量加權股價指數,"14,556.87",-,221.64,-1.50,,2022-11-28
發行量加權股價指數,"14,709.64",+,152.77,1.05,,2022-11-29
發行量加權股價指數,"14,879.55",+,169.91,1.16,,2022-11-30
