指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"12,548.28",+,32.67,0.26,,2020-10-05
發行量加權股價指數,"12,704.23",+,155.95,1.24,,2020-10-06
發行量加權股價指數,"12,746.37",+,42.14,0.33,,2020-10-07
發行量加權股價指數,"12,887.19",+,140.82,1.10,,2020-10-08
發行量加權股價指數,"12,955.91",+,68.72,0.53,,2020-10-12
發行量加權股價指數,"12,947.13",-,8.78,-0.07,,2020-10-13
發行量加權股價指數,"12,919.31",-,27.82,-0.21,,2020-10-14
發行量加權股價指數,"12,827.82",-,91.49,-0.71,,2020-10-15
發行量加權股價指數,"12,750.37",-,77.45,-0.60,,2020-10-16
發行量加權股價指數,"12,908.34",+,157.97,1.24,,2020-10-19
發行量加權股價指數,"12,862.37",-,45.97,-0.36,,2020-10-20
發行量加權股價指數,"12,877.25",+,14.88,0.12,,2020-10-21
發行量加權股價指數,"12,917.03",+,39.78,0.31,,2020-10-22
發行量加權股價指數,"12,898.82",-,18.21,-0.14,,2020-10-23
發行量加權股價指數,"12,909.03",+,10.21,0.08,,2020-10-26
發行量加權股價指數,"12,875.01",-,34.02,-0.26,,2020-10-27
發行量加權股價指數,"12,793.75",-,81.26,-0.63,,2020-10-28
發行量加權股價指數,"12,662.91",-,130.84,-1.02,,2020-10-29
發行量加權股價指數,"12,546.34",-,116.57,-0.92,,2020-10-30
