指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"11,354.92",-,140.18,-1.22,,2020-02-03
發行量加權股價指數,"11,555.92",+,201.00,1.77,,2020-02-04
發行量加權股價指數,"11,573.62",+,17.70,0.15,,2020-02-05
發行量加權股價指數,"11,749.68",+,176.06,1.52,,2020-02-06
發行量加權股價指數,"11,612.81",-,136.87,-1.16,,2020-02-07
發行量加權股價指數,"11,574.07",-,38.74,-0.33,,2020-02-10
發行量加權股價指數,"11,664.04",+,89.97,0.78,,2020-02-11
發行量加權股價指數,"11,774.19",+,110.15,0.94,,2020-02-12
發行量加權股價指數,"11,791.78",+,17.59,0.15,,2020-02-13
發行量加權股價指數,"11,815.70",+,23.92,0.20,,2020-02-14
發行量加權股價指數,"11,763.51",-,52.19,-0.44,,2020-02-17
發行量加權股價指數,"11,648.98",-,114.53,-0.97,,2020-02-18
發行量加權股價指數,"11,758.84",+,109.86,0.94,,2020-02-19
發行量加權股價指數,"11,725.09",-,33.75,-0.29,,2020-02-20
發行量加權股價指數,"11,686.35",-,38.74,-0.33,,2020-02-21
發行量加權股價指數,"11,534.87",-,151.48,-1.30,,2020-02-24
發行量加權股價指數,"11,540.23",+,5.36,0.05,,2020-02-25
發行量加權股價指數,"11,433.62",-,106.61,-0.92,,2020-02-26
發行量加權股價指數,"11,292.17",-,141.45,-1.24,,2020-02-27
