指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,642.63",+,1.59,0.01,,2019-04-01
發行量加權股價指數,"10,690.30",+,47.67,0.45,,2019-04-02
發行量加權股價指數,"10,704.38",+,14.08,0.13,,2019-04-03
發行量加權股價指數,"10,800.57",+,96.19,0.90,,2019-04-08
發行量加權股價指數,"10,851.60",+,51.03,0.47,,2019-04-09
發行量加權股價指數,"10,868.14",+,16.54,0.15,,2019-04-10
發行量加權股價指數,"10,808.77",-,59.37,-0.55,,2019-04-11
發行量加權股價指數,"10,805.30",-,3.47,-0.03,,2019-04-12
發行量加權股價指數,"10,875.60",+,70.30,0.65,,2019-04-15
發行量加權股價指數,"10,927.85",+,52.25,0.48,,2019-04-16
發行量加權股價指數,"10,997.26",+,69.41,0.64,,2019-04-17
發行量加權股價指數,"10,962.02",-,35.24,-0.32,,2019-04-18
發行量加權股價指數,"10,968.50",+,6.48,0.06,,2019-04-19
發行量加權股價指數,"10,987.71",+,19.21,0.18,,2019-04-22
發行量加權股價指數,"11,025.68",+,37.97,0.35,,2019-04-23
發行量加權股價指數,"11,027.64",+,1.96,0.02,,2019-04-24
發行量加權股價指數,"11,039.86",+,12.22,0.11,,2019-04-25
發行量加權股價指數,"10,952.47",-,87.39,-0.79,,2019-04-26
加權股價指數,"10,939.06",-,13.41,-0.12,,2019-04-29
發行量加權股價指數,"10,967.73",+,28.67,0.26,,2019-04-30
