指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,720.48",-,271.66,-2.47,,2020-05-04
發行量加權股價指數,"10,774.61",+,54.13,0.50,,2020-05-05
發行量加權股價指數,"10,774.98",+,0.37,--,,2020-05-06
發行量加權股價指數,"10,842.92",+,67.94,0.63,,2020-05-07
發行量加權股價指數,"10,901.42",+,58.50,0.54,,2020-05-08
發行量加權股價指數,"11,013.26",+,111.84,1.03,,2020-05-11
發行量加權股價指數,"10,879.47",-,133.79,-1.21,,2020-05-12
發行量加權股價指數,"10,938.27",+,58.80,0.54,,2020-05-13
發行量加權股價指數,"10,780.88",-,157.39,-1.44,,2020-05-14
發行量加權股價指數,"10,814.92",+,34.04,0.32,,2020-05-15
發行量加權股價指數,"10,740.55",-,74.37,-0.69,,2020-05-18
發行量加權股價指數,"10,860.44",+,119.89,1.12,,2020-05-19
發行量加權股價指數,"10,907.80",+,47.36,0.44,,2020-05-20
發行量加權股價指數,"11,008.31",+,100.51,0.92,,2020-05-21
發行量加權股價指數,"10,811.15",-,197.16,-1.79,,2020-05-22
發行量加權股價指數,"10,871.18",+,60.03,0.56,,2020-05-25
發行量加權股價指數,"10,997.21",+,126.03,1.16,,2020-05-26
發行量加權股價指數,"11,014.66",+,17.45,0.16,,2020-05-27
發行量加權股價指數,"10,944.19",-,70.47,-0.64,,2020-05-28
發行量加權股價指數,"10,942.16",-,2.03,-0.02,,2020-05-29
