指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"14,801.86",-,293.58,-1.94,,2022-09-01
發行量加權股價指數,"14,673.04",-,128.82,-0.87,,2022-09-02
發行量加權股價指數,"14,661.10",-,11.94,-0.08,,2022-09-05
發行量加權股價指數,"14,677.20",+,16.10,0.11,,2022-09-06
發行量加權股價指數,"14,410.05",-,267.15,-1.82,,2022-09-07
發行量加權股價指數,"14,583.42",+,173.37,1.20,,2022-09-08
發行量加權股價指數,"14,807.43",+,224.01,1.54,,2022-09-12
發行量加權股價指數,"14,894.41",+,86.98,0.59,,2022-09-13
發行量加權股價指數,"14,658.31",-,236.10,-1.59,,2022-09-14
發行量加權股價指數,"14,670.04",+,11.73,0.08,,2022-09-15
發行量加權股價指數,"14,561.76",-,108.28,-0.74,,2022-09-16
發行量加權股價指數,"14,425.68",-,136.08,-0.93,,2022-09-19
發行量加權股價指數,"14,549.30",+,123.62,0.86,,2022-09-20
發行量加權股價指數,"14,424.52",-,124.78,-0.86,,2022-09-21
發行量加權股價指數,"14,284.63",-,139.89,-0.97,,2022-09-22
發行量加權股價指數,"14,118.38",-,166.25,-1.16,,2022-09-23
發行量加權股價指數,"13,778.19",-,340.19,-2.41,,2022-09-26
發行量加權股價指數,"13,826.59",+,48.40,0.35,,2022-09-27
發行量加權股價指數,"13,466.07",-,360.52,-2.61,,2022-09-28
發行量加權股價指數,"13,534.26",+,68.19,0.51,,2022-09-29
發行量加權股價指數,"13,424.58",-,109.68,-0.81,,2022-09-30
