指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,895.46",+,164.63,1.53,,2019-07-01
發行量加權股價指數,"10,865.12",-,30.34,-0.28,,2019-07-02
發行量加權股價指數,"10,743.77",-,121.35,-1.12,,2019-07-03
發行量加權股價指數,"10,775.90",+,32.13,0.30,,2019-07-04
發行量加權股價指數,"10,785.73",+,9.83,0.09,,2019-07-05
發行量加權股價指數,"10,751.22",-,34.51,-0.32,,2019-07-08
發行量加權股價指數,"10,702.78",-,48.44,-0.45,,2019-07-09
發行量加權股價指數,"10,798.48",+,95.70,0.89,,2019-07-10
發行量加權股價指數,"10,843.42",+,44.94,0.42,,2019-07-11
發行量加權股價指數,"10,824.35",-,19.07,-0.18,,2019-07-12
發行量加權股價指數,"10,876.43",+,52.08,0.48,,2019-07-15
發行量加權股價指數,"10,886.05",+,9.62,0.09,,2019-07-16
發行量加權股價指數,"10,828.48",-,57.57,-0.53,,2019-07-17
發行量加權股價指數,"10,799.28",-,29.20,-0.27,,2019-07-18
發行量加權股價指數,"10,873.19",+,73.91,0.68,,2019-07-19
發行量加權股價指數,"10,944.53",+,71.34,0.66,,2019-07-22
發行量加權股價指數,"10,947.26",+,2.73,0.02,,2019-07-23
發行量加權股價指數,"10,935.76",-,11.50,-0.11,,2019-07-24
發行量加權股價指數,"10,941.41",+,5.65,0.05,,2019-07-25
發行量加權股價指數,"10,891.98",-,49.43,-0.45,,2019-07-26
發行量加權股價指數,"10,885.73",-,6.25,-0.06,,2019-07-29
發行量加權股價指數,"10,830.90",-,54.83,-0.50,,2019-07-30
發行量加權股價指數,"10,823.81",-,7.09,-0.07,,2019-07-31
