指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"10,731.75",-,92.06,-0.85,,2019-08-01
發行量加權股價指數,"10,549.04",-,182.71,-1.70,,2019-08-02
發行量加權股價指數,"10,423.41",-,125.63,-1.19,,2019-08-05
發行量加權股價指數,"10,394.75",-,28.66,-0.27,,2019-08-06
發行量加權股價指數,"10,386.18",-,8.57,-0.08,,2019-08-07
發行量加權股價指數,"10,494.49",+,108.31,1.04,,2019-08-08
發行量加權股價指數,"10,472.36",-,22.13,-0.21,,2019-08-12
發行量加權股價指數,"10,362.66",-,109.70,-1.05,,2019-08-13
發行量加權股價指數,"10,427.73",+,65.07,0.63,,2019-08-14
發行量加權股價指數,"10,327.13",-,100.60,-0.96,,2019-08-15
發行量加權股價指數,"10,420.89",+,93.76,0.91,,2019-08-16
發行量加權股價指數,"10,488.75",+,67.86,0.65,,2019-08-19
發行量加權股價指數,"10,522.50",+,33.75,0.32,,2019-08-20
發行量加權股價指數,"10,525.80",+,3.30,0.03,,2019-08-21
發行量加權股價指數,"10,529.78",+,3.98,0.04,,2019-08-22
發行量加權股價指數,"10,538.11",+,8.33,0.08,,2019-08-23
發行量加權股價指數,"10,354.57",-,183.54,-1.74,,2019-08-26
發行量加權股價指數,"10,387.23",+,32.66,0.32,,2019-08-27
發行量加權股價指數,"10,434.29",+,47.06,0.45,,2019-08-28
發行量加權股價指數,"10,462.43",+,28.14,0.27,,2019-08-29
發行量加權股價指數,"10,618.05",+,155.62,1.49,,2019-08-30
