指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"12,513.03",-,151.77,-1.20,,2020-08-03
發行量加權股價指數,"12,709.92",+,196.89,1.57,,2020-08-04
發行量加權股價指數,"12,802.30",+,92.38,0.73,,2020-08-05
發行量加權股價指數,"12,913.50",+,111.20,0.87,,2020-08-06
發行量加權股價指數,"12,828.87",-,84.63,-0.66,,2020-08-07
發行量加權股價指數,"12,894.00",+,65.13,0.51,,2020-08-10
發行量加權股價指數,"12,780.19",-,113.81,-0.88,,2020-08-11
發行量加權股價指數,"12,670.35",-,109.84,-0.86,,2020-08-12
發行量加權股價指數,"12,763.13",+,92.78,0.73,,2020-08-13
發行量加權股價指數,"12,795.46",+,32.33,0.25,,2020-08-14
發行量加權股價指數,"12,956.11",+,160.65,1.26,,2020-08-17
發行量加權股價指數,"12,872.14",-,83.97,-0.65,,2020-08-18
發行量加權股價指數,"12,778.64",-,93.50,-0.73,,2020-08-19
發行量加權股價指數,"12,362.64",-,416.00,-3.26,,2020-08-20
發行量加權股價指數,"12,607.84",+,245.20,1.98,,2020-08-21
發行量加權股價指數,"12,647.13",+,39.29,0.31,,2020-08-24
發行量加權股價指數,"12,758.25",+,111.12,0.88,,2020-08-25
發行量加權股價指數,"12,833.29",+,75.04,0.59,,2020-08-26
發行量加權股價指數,"12,797.31",-,35.98,-0.28,,2020-08-27
發行量加權股價指數,"12,728.85",-,68.46,-0.53,,2020-08-28
發行量加權股價指數,"12,591.45",-,137.40,-1.08,,2020-08-31
