指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"17,162.38",+,93.95,0.55,,2021-06-01
發行量加權股價指數,"17,165.04",+,2.66,0.02,,2021-06-02
發行量加權股價指數,"17,246.16",+,81.12,0.47,,2021-06-03
發行量加權股價指數,"17,147.41",-,98.75,-0.57,,2021-06-04
發行量加權股價指數,"17,083.91",-,63.50,-0.37,,2021-06-07
發行量加權股價指數,"17,076.21",-,7.70,-0.05,,2021-06-08
發行量加權股價指數,"16,966.22",-,109.99,-0.64,,2021-06-09
發行量加權股價指數,"17,159.22",+,193.00,1.14,,2021-06-10
發行量加權股價指數,"17,213.52",+,54.30,0.32,,2021-06-11
發行量加權股價指數,"17,371.29",+,157.77,0.92,,2021-06-15
發行量加權股價指數,"17,307.86",-,63.43,-0.37,,2021-06-16
發行量加權股價指數,"17,390.61",+,82.75,0.48,,2021-06-17
發行量加權股價指數,"17,318.54",-,72.07,-0.41,,2021-06-18
發行量加權股價指數,"17,062.98",-,255.56,-1.48,,2021-06-21
發行量加權股價指數,"17,075.55",+,12.57,0.07,,2021-06-22
發行量加權股價指數,"17,336.71",+,261.16,1.53,,2021-06-23
發行量加權股價指數,"17,407.96",+,71.25,0.41,,2021-06-24
發行量加權股價指數,"17,502.99",+,95.03,0.55,,2021-06-25
發行量加權股價指數,"17,590.97",+,87.98,0.50,,2021-06-28
發行量加權股價指數,"17,598.19",+,7.22,0.04,,2021-06-29
發行量加權股價指數,"17,755.46",+,157.27,0.89,,2021-06-30
