指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"15,410.09",+,271.78,1.80,,2021-02-01
發行量加權股價指數,"15,760.05",+,349.96,2.27,,2021-02-02
發行量加權股價指數,"15,771.32",+,11.27,0.07,,2021-02-03
發行量加權股價指數,"15,706.22",-,65.10,-0.41,,2021-02-04
發行量加權股價指數,"15,802.40",+,96.18,0.61,,2021-02-05
發行量加權股價指數,"16,362.29",+,559.89,3.54,,2021-02-17
發行量加權股價指數,"16,424.51",+,62.22,0.38,,2021-02-18
發行量加權股價指數,"16,341.38",-,83.13,-0.51,,2021-02-19
發行量加權股價指數,"16,410.16",+,68.78,0.42,,2021-02-22
發行量加權股價指數,"16,443.40",+,33.24,0.20,,2021-02-23
發行量加權股價指數,"16,212.53",-,230.87,-1.40,,2021-02-24
發行量加權股價指數,"16,452.18",+,239.65,1.48,,2021-02-25
發行量加權股價指數,"15,953.80",-,498.38,-3.03,,2021-02-26
