指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"12,703.28",+,111.83,0.89,,2020-09-01
發行量加權股價指數,"12,699.50",-,3.78,-0.03,,2020-09-02
發行量加權股價指數,"12,757.97",+,58.47,0.46,,2020-09-03
發行量加權股價指數,"12,637.95",-,120.02,-0.94,,2020-09-04
發行量加權股價指數,"12,601.40",-,36.55,-0.29,,2020-09-07
發行量加權股價指數,"12,663.56",+,62.16,0.49,,2020-09-08
發行量加權股價指數,"12,608.58",-,54.98,-0.43,,2020-09-09
發行量加權股價指數,"12,691.75",+,83.17,0.66,,2020-09-10
發行量加權股價指數,"12,675.95",-,15.80,-0.12,,2020-09-11
發行量加權股價指數,"12,787.82",+,111.87,0.88,,2020-09-14
發行量加權股價指數,"12,845.65",+,57.83,0.45,,2020-09-15
發行量加權股價指數,"12,976.76",+,131.11,1.02,,2020-09-16
發行量加權股價指數,"12,872.74",-,104.02,-0.80,,2020-09-17
發行量加權股價指數,"12,875.62",+,2.88,0.02,,2020-09-18
發行量加權股價指數,"12,795.12",-,80.50,-0.63,,2020-09-21
發行量加權股價指數,"12,645.51",-,149.61,-1.17,,2020-09-22
發行量加權股價指數,"12,583.88",-,61.63,-0.49,,2020-09-23
發行量加權股價指數,"12,264.38",-,319.50,-2.54,,2020-09-24
發行量加權股價指數,"12,232.91",-,31.47,-0.26,,2020-09-25
發行量加權股價指數,"12,462.76",+,229.85,1.88,,2020-09-28
發行量加權股價指數,"12,467.73",+,4.97,0.04,,2020-09-29
發行量加權股價指數,"12,515.61",+,47.88,0.38,,2020-09-30
