指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,日期
發行量加權股價指數,"13,885.67",+,162.78,1.19,,2020-12-01
發行量加權股價指數,"13,989.14",+,103.47,0.75,,2020-12-02
發行量加權股價指數,"13,977.09",-,12.05,-0.09,,2020-12-03
發行量加權股價指數,"14,132.44",+,155.35,1.11,,2020-12-04
發行量加權股價指數,"14,256.60",+,124.16,0.88,,2020-12-07
發行量加權股價指數,"14,360.40",+,103.80,0.73,,2020-12-08
發行量加權股價指數,"14,390.14",+,29.74,0.21,,2020-12-09
發行量加權股價指數,"14,249.49",-,140.65,-0.98,,2020-12-10
發行量加權股價指數,"14,261.69",+,12.20,0.09,,2020-12-11
發行量加權股價指數,"14,211.05",-,50.64,-0.36,,2020-12-14
發行量加權股價指數,"14,068.52",-,142.53,-1.00,,2020-12-15
發行量加權股價指數,"14,304.46",+,235.94,1.68,,2020-12-16
發行量加權股價指數,"14,258.93",-,45.53,-0.32,,2020-12-17
發行量加權股價指數,"14,249.96",-,8.97,-0.06,,2020-12-18
發行量加權股價指數,"14,384.96",+,135.00,0.95,,2020-12-21
發行量加權股價指數,"14,177.46",-,207.50,-1.44,,2020-12-22
發行量加權股價指數,"14,223.09",+,45.63,0.32,,2020-12-23
發行量加權股價指數,"14,280.28",+,57.19,0.40,,2020-12-24
發行量加權股價指數,"14,331.42",+,51.14,0.36,,2020-12-25
發行量加權股價指數,"14,483.07",+,151.65,1.06,,2020-12-28
發行量加權股價指數,"14,472.05",-,11.02,-0.08,,2020-12-29
發行量加權股價指數,"14,687.70",+,215.65,1.49,,2020-12-30
發行量加權股價指數,"14,732.53",+,44.83,0.31,,2020-12-31
