證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","253,797,810","488,962,470",34.16,65.83,100.00,100.00,,107/05/16,2019-03-04
2382,廣達,TW0002382009,"3,862,627,432","2,812,360,312","1,050,267,120",72.8,27.19,100.00,100.00,,107/05/16,2019-03-04
2417,圓剛,TW0002417003,"192,892,330","183,393,734","9,498,596",95.07,4.92,100.00,100.00,,107/06/01,2019-03-04
2357,華碩,TW0002357001,"742,760,280","253,681,590","489,078,690",34.15,65.84,100.00,100.00,,107/05/16,2019-03-05
2382,廣達,TW0002382009,"3,862,627,432","2,812,229,208","1,050,398,224",72.8,27.19,100.00,100.00,,107/05/16,2019-03-05
2417,圓剛,TW0002417003,"192,892,330","183,511,734","9,380,596",95.13,4.86,100.00,100.00,,107/06/01,2019-03-05
2357,華碩,TW0002357001,"742,760,280","253,725,193","489,035,087",34.15,65.84,100.00,100.00,,107/05/16,2019-03-06
2382,廣達,TW0002382009,"3,862,627,432","2,813,423,347","1,049,204,085",72.83,27.16,100.00,100.00,,107/05/16,2019-03-06
2417,圓剛,TW0002417003,"192,892,330","183,510,734","9,381,596",95.13,4.86,100.00,100.00,,107/06/01,2019-03-06
2357,華碩,TW0002357001,"742,760,280","253,698,993","489,061,287",34.15,65.84,100.00,100.00,,107/05/16,2019-03-07
2382,廣達,TW0002382009,"3,862,627,432","2,812,236,094","1,050,391,338",72.8,27.19,100.00,100.00,,107/05/16,2019-03-07
2417,圓剛,TW0002417003,"192,892,330","183,609,734","9,282,596",95.18,4.81,100.00,100.00,,107/06/01,2019-03-07
2357,華碩,TW0002357001,"742,760,280","253,944,827","488,815,453",34.18,65.81,100.00,100.00,,107/05/16,2019-03-08
2382,廣達,TW0002382009,"3,862,627,432","2,814,057,260","1,048,570,172",72.85,27.14,100.00,100.00,,107/05/16,2019-03-08
