證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","264,579,211","478,181,069",35.62,64.37,100.00,100.00,,108/06/04,2019-07-01
2382,廣達,TW0002382009,"3,862,627,432","2,840,143,332","1,022,484,100",73.52,26.47,100.00,100.00,,108/05/24,2019-07-01
2417,圓剛,TW0002417003,"192,892,330","183,973,457","8,918,873",95.37,4.62,100.00,100.00,,108/06/04,2019-07-01
2357,華碩,TW0002357001,"742,760,280","265,336,211","477,424,069",35.72,64.27,100.00,100.00,,108/06/04,2019-07-02
2382,廣達,TW0002382009,"3,862,627,432","2,841,594,332","1,021,033,100",73.56,26.43,100.00,100.00,,108/05/24,2019-07-02
2417,圓剛,TW0002417003,"192,892,330","183,986,457","8,905,873",95.38,4.61,100.00,100.00,,108/06/04,2019-07-02
2357,華碩,TW0002357001,"742,760,280","266,350,650","476,409,630",35.85,64.14,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10807' target=_blank>4</a>,108/06/04,2019-07-03
2382,廣達,TW0002382009,"3,862,627,432","2,842,885,484","1,019,741,948",73.59,26.4,100.00,100.00,,108/05/24,2019-07-03
2417,圓剛,TW0002417003,"192,892,330","183,957,457","8,934,873",95.36,4.63,100.00,100.00,,108/06/04,2019-07-03
2357,華碩,TW0002357001,"742,760,280","266,788,650","475,971,630",35.91,64.08,100.00,100.00,,108/06/04,2019-07-04
2382,廣達,TW0002382009,"3,862,627,432","2,842,468,484","1,020,158,948",73.58,26.41,100.00,100.00,,108/05/24,2019-07-04
2417,圓剛,TW0002417003,"192,892,330","183,907,457","8,984,873",95.34,4.65,100.00,100.00,,108/06/04,2019-07-04
2357,華碩,TW0002357001,"742,760,280","266,562,650","476,197,630",35.88,64.11,100.00,100.00,,108/06/04,2019-07-05
2382,廣達,TW0002382009,"3,862,627,432","2,845,054,484","1,017,572,948",73.65,26.34,100.00,100.00,,108/05/24,2019-07-05
2417,圓剛,TW0002417003,"192,892,330","183,890,457","9,001,873",95.33,4.66,100.00,100.00,,108/06/04,2019-07-05
2357,華碩,TW0002357001,"742,760,280","269,795,993","472,964,287",36.32,63.67,100.00,100.00,,108/06/04,2019-07-08
2382,廣達,TW0002382009,"3,862,627,432","2,845,566,542","1,017,060,890",73.66,26.33,100.00,100.00,,108/05/24,2019-07-08
2417,圓剛,TW0002417003,"192,892,330","183,805,457","9,086,873",95.28,4.71,100.00,100.00,,108/06/04,2019-07-08
2357,華碩,TW0002357001,"742,760,280","270,382,993","472,377,287",36.4,63.59,100.00,100.00,,108/06/04,2019-07-09
2382,廣達,TW0002382009,"3,862,627,432","2,846,937,542","1,015,689,890",73.7,26.29,100.00,100.00,,108/05/24,2019-07-09
2417,圓剛,TW0002417003,"192,892,330","184,295,457","8,596,873",95.54,4.45,100.00,100.00,,108/06/04,2019-07-09
2357,華碩,TW0002357001,"742,760,280","265,453,368","477,306,912",35.73,64.26,100.00,100.00,,108/06/04,2019-07-10
2382,廣達,TW0002382009,"3,862,627,432","2,846,010,228","1,016,617,204",73.68,26.31,100.00,100.00,,108/05/24,2019-07-10
2417,圓剛,TW0002417003,"192,892,330","184,182,457","8,709,873",95.48,4.51,100.00,100.00,,108/06/04,2019-07-10
2357,華碩,TW0002357001,"742,760,280","264,918,078","477,842,202",35.66,64.33,100.00,100.00,,108/06/04,2019-07-11
2382,廣達,TW0002382009,"3,862,627,432","2,846,662,548","1,015,964,884",73.69,26.3,100.00,100.00,,108/05/24,2019-07-11
2417,圓剛,TW0002417003,"192,892,330","184,045,457","8,846,873",95.41,4.58,100.00,100.00,,108/06/04,2019-07-11
2357,華碩,TW0002357001,"742,760,280","265,025,745","477,734,535",35.68,64.31,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10807' target=_blank>4</a>,108/06/04,2019-07-12
2382,廣達,TW0002382009,"3,862,627,432","2,846,643,548","1,015,983,884",73.69,26.3,100.00,100.00,,108/05/24,2019-07-12
2417,圓剛,TW0002417003,"192,892,330","183,946,457","8,945,873",95.36,4.63,100.00,100.00,,108/06/04,2019-07-12
2357,華碩,TW0002357001,"742,760,280","264,748,745","478,011,535",35.64,64.35,100.00,100.00,,108/06/04,2019-07-15
2382,廣達,TW0002382009,"3,862,627,432","2,846,313,232","1,016,314,200",73.68,26.31,100.00,100.00,,108/05/24,2019-07-15
