證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","279,651,717","463,108,563",37.65,62.34,100.00,100.00,,109/05/29,2021-01-04
2382,廣達,TW0002382009,"3,862,627,432","2,692,413,101","1,170,214,331",69.7,30.29,100.00,100.00,,109/05/22,2021-01-04
2417,圓剛,TW0002417003,"192,892,330","185,044,504","7,847,826",95.93,4.06,100.00,100.00,,109/06/05,2021-01-04
2357,華碩,TW0002357001,"742,760,280","279,402,168","463,358,112",37.61,62.38,100.00,100.00,,109/05/29,2021-01-05
2382,廣達,TW0002382009,"3,862,627,432","2,689,741,528","1,172,885,904",69.63,30.36,100.00,100.00,,109/05/22,2021-01-05
2417,圓剛,TW0002417003,"192,892,330","185,231,504","7,660,826",96.02,3.97,100.00,100.00,,109/06/05,2021-01-05
2357,華碩,TW0002357001,"742,760,280","279,754,077","463,006,203",37.66,62.33,100.00,100.00,,109/05/29,2021-01-06
2382,廣達,TW0002382009,"3,862,627,432","2,691,778,478","1,170,848,954",69.68,30.31,100.00,100.00,,109/05/22,2021-01-06
2417,圓剛,TW0002417003,"192,892,330","182,994,504","9,897,826",94.86,5.13,100.00,100.00,,109/06/05,2021-01-06
2357,華碩,TW0002357001,"742,760,280","276,852,869","465,907,411",37.27,62.72,100.00,100.00,,109/05/29,2021-01-07
2382,廣達,TW0002382009,"3,862,627,432","2,692,213,101","1,170,414,331",69.69,30.3,100.00,100.00,,109/05/22,2021-01-07
2417,圓剛,TW0002417003,"192,892,330","179,430,404","13,461,926",93.02,6.97,100.00,100.00,,109/06/05,2021-01-07
2357,華碩,TW0002357001,"742,760,280","273,636,611","469,123,669",36.84,63.15,100.00,100.00,,109/05/29,2021-01-08
2382,廣達,TW0002382009,"3,862,627,432","2,690,723,783","1,171,903,649",69.66,30.33,100.00,100.00,,109/05/22,2021-01-08
2417,圓剛,TW0002417003,"192,892,330","179,486,804","13,405,526",93.05,6.94,100.00,100.00,,109/06/05,2021-01-08
2357,華碩,TW0002357001,"742,760,280","275,192,106","467,568,174",37.04,62.95,100.00,100.00,,109/05/29,2021-01-11
2382,廣達,TW0002382009,"3,862,627,432","2,690,594,346","1,172,033,086",69.65,30.34,100.00,100.00,,109/05/22,2021-01-11
2417,圓剛,TW0002417003,"192,892,330","177,925,204","14,967,126",92.24,7.75,100.00,100.00,,109/06/05,2021-01-11
2357,華碩,TW0002357001,"742,760,280","272,875,081","469,885,199",36.73,63.26,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=11001' target=_blank>4</a>,109/05/29,2021-01-12
2382,廣達,TW0002382009,"3,862,627,432","2,688,886,916","1,173,740,516",69.61,30.38,100.00,100.00,,109/05/22,2021-01-12
2417,圓剛,TW0002417003,"192,892,330","178,883,204","14,009,126",92.73,7.26,100.00,100.00,,109/06/05,2021-01-12
2357,華碩,TW0002357001,"742,760,280","272,251,204","470,509,076",36.65,63.34,100.00,100.00,,109/05/29,2021-01-13
2382,廣達,TW0002382009,"3,862,627,432","2,686,005,186","1,176,622,246",69.53,30.46,100.00,100.00,,109/05/22,2021-01-13
2417,圓剛,TW0002417003,"192,892,330","177,247,204","15,645,126",91.88,8.11,100.00,100.00,,109/06/05,2021-01-13
2357,華碩,TW0002357001,"742,760,280","272,299,230","470,461,050",36.66,63.33,100.00,100.00,,109/05/29,2021-01-14
2382,廣達,TW0002382009,"3,862,627,432","2,682,196,968","1,180,430,464",69.43,30.56,100.00,100.00,,109/05/22,2021-01-14
2417,圓剛,TW0002417003,"192,892,330","176,771,204","16,121,126",91.64,8.35,100.00,100.00,,109/06/05,2021-01-14
2357,華碩,TW0002357001,"742,760,280","270,952,422","471,807,858",36.47,63.52,100.00,100.00,,109/05/29,2021-01-15
2382,廣達,TW0002382009,"3,862,627,432","2,681,774,789","1,180,852,643",69.42,30.57,100.00,100.00,,109/05/22,2021-01-15
2417,圓剛,TW0002417003,"192,892,330","178,011,204","14,881,126",92.28,7.71,100.00,100.00,,109/06/05,2021-01-15
2357,華碩,TW0002357001,"742,760,280","270,147,698","472,612,582",36.37,63.62,100.00,100.00,,109/05/29,2021-01-18
2382,廣達,TW0002382009,"3,862,627,432","2,682,017,215","1,180,610,217",69.43,30.56,100.00,100.00,,109/05/22,2021-01-18
2417,圓剛,TW0002417003,"192,892,330","176,717,204","16,175,126",91.61,8.38,100.00,100.00,,109/06/05,2021-01-18
2357,華碩,TW0002357001,"742,760,280","269,272,518","473,487,762",36.25,63.74,100.00,100.00,,109/05/29,2021-01-19
2382,廣達,TW0002382009,"3,862,627,432","2,682,266,880","1,180,360,552",69.44,30.55,100.00,100.00,,109/05/22,2021-01-19
2417,圓剛,TW0002417003,"192,892,330","176,082,204","16,810,126",91.28,8.71,100.00,100.00,,109/06/05,2021-01-19
2357,華碩,TW0002357001,"742,760,280","270,205,308","472,554,972",36.37,63.62,100.00,100.00,,109/05/29,2021-01-20
2382,廣達,TW0002382009,"3,862,627,432","2,684,367,948","1,178,259,484",69.49,30.5,100.00,100.00,,109/05/22,2021-01-20
2417,圓剛,TW0002417003,"192,892,330","178,345,204","14,547,126",92.45,7.54,100.00,100.00,,109/06/05,2021-01-20
2357,華碩,TW0002357001,"742,760,280","268,224,666","474,535,614",36.11,63.88,100.00,100.00,,109/05/29,2021-01-21
2382,廣達,TW0002382009,"3,862,627,432","2,682,784,014","1,179,843,418",69.45,30.54,100.00,100.00,,109/05/22,2021-01-21
2417,圓剛,TW0002417003,"192,892,330","176,134,204","16,758,126",91.31,8.68,100.00,100.00,,109/06/05,2021-01-21
2357,華碩,TW0002357001,"742,760,280","266,644,540","476,115,740",35.89,64.1,100.00,100.00,,109/05/29,2021-01-22
2382,廣達,TW0002382009,"3,862,627,432","2,683,960,486","1,178,666,946",69.48,30.51,100.00,100.00,,109/05/22,2021-01-22
2417,圓剛,TW0002417003,"192,892,330","174,943,204","17,949,126",90.69,9.3,100.00,100.00,,109/06/05,2021-01-22
2357,華碩,TW0002357001,"742,760,280","265,788,510","476,971,770",35.78,64.21,100.00,100.00,,109/05/29,2021-01-25
2382,廣達,TW0002382009,"3,862,627,432","2,682,779,273","1,179,848,159",69.45,30.54,100.00,100.00,,109/05/22,2021-01-25
2417,圓剛,TW0002417003,"192,892,330","176,441,204","16,451,126",91.47,8.52,100.00,100.00,,109/06/05,2021-01-25
2357,華碩,TW0002357001,"742,760,280","267,529,612","475,230,668",36.01,63.98,100.00,100.00,,109/05/29,2021-01-26
2382,廣達,TW0002382009,"3,862,627,432","2,684,489,504","1,178,137,928",69.49,30.5,100.00,100.00,,109/05/22,2021-01-26
2417,圓剛,TW0002417003,"192,892,330","181,994,204","10,898,126",94.35,5.64,100.00,100.00,,109/06/05,2021-01-26
2357,華碩,TW0002357001,"742,760,280","264,804,727","477,955,553",35.65,64.34,100.00,100.00,,109/05/29,2021-01-27
2382,廣達,TW0002382009,"3,862,627,432","2,684,170,112","1,178,457,320",69.49,30.5,100.00,100.00,,109/05/22,2021-01-27
2417,圓剛,TW0002417003,"192,892,330","182,394,204","10,498,126",94.55,5.44,100.00,100.00,,109/06/05,2021-01-27
2357,華碩,TW0002357001,"742,760,280","264,835,713","477,924,567",35.65,64.34,100.00,100.00,,109/05/29,2021-01-28
2382,廣達,TW0002382009,"3,862,627,432","2,684,844,709","1,177,782,723",69.5,30.49,100.00,100.00,,109/05/22,2021-01-28
2417,圓剛,TW0002417003,"192,892,330","183,391,204","9,501,126",95.07,4.92,100.00,100.00,,109/06/05,2021-01-28
2357,華碩,TW0002357001,"742,760,280","264,699,219","478,061,061",35.63,64.36,100.00,100.00,,109/05/29,2021-01-29
2382,廣達,TW0002382009,"3,862,627,432","2,687,774,598","1,174,852,834",69.58,30.41,100.00,100.00,,109/05/22,2021-01-29
2417,圓剛,TW0002417003,"192,892,330","183,902,204","8,990,126",95.33,4.66,100.00,100.00,,109/06/05,2021-01-29
