證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","418,120,112","324,640,168",56.29,43.7,100.00,100.00,,111/06/01,2022-08-01
2382,廣達,TW0002382009,"3,862,627,432","2,972,562,596","890,064,836",76.95,23.04,100.00,100.00,,111/05/24,2022-08-01
2417,圓剛,TW0002417003,"158,428,864","156,050,581","2,378,283",98.49,1.5,100.00,100.00,,111/05/31,2022-08-01
2357,華碩,TW0002357001,"742,760,280","415,082,990","327,677,290",55.88,44.11,100.00,100.00,,111/06/01,2022-08-02
2382,廣達,TW0002382009,"3,862,627,432","2,973,676,404","888,951,028",76.98,23.01,100.00,100.00,,111/05/24,2022-08-02
2417,圓剛,TW0002417003,"158,428,864","156,112,581","2,316,283",98.53,1.46,100.00,100.00,,111/05/31,2022-08-02
2357,華碩,TW0002357001,"742,760,280","414,712,748","328,047,532",55.83,44.16,100.00,100.00,,111/06/01,2022-08-03
2382,廣達,TW0002382009,"3,862,627,432","2,971,434,432","891,193,000",76.92,23.07,100.00,100.00,,111/05/24,2022-08-03
2417,圓剛,TW0002417003,"158,428,864","156,137,581","2,291,283",98.55,1.44,100.00,100.00,,111/05/31,2022-08-03
2357,華碩,TW0002357001,"742,760,280","414,891,309","327,868,971",55.85,44.14,100.00,100.00,,111/06/01,2022-08-04
2382,廣達,TW0002382009,"3,862,627,432","2,970,207,032","892,420,400",76.89,23.1,100.00,100.00,,111/05/24,2022-08-04
2417,圓剛,TW0002417003,"158,428,864","156,157,581","2,271,283",98.56,1.43,100.00,100.00,,111/05/31,2022-08-04
2357,華碩,TW0002357001,"742,760,280","415,842,292","326,917,988",55.98,44.01,100.00,100.00,,111/06/01,2022-08-05
2382,廣達,TW0002382009,"3,862,627,432","2,971,381,032","891,246,400",76.92,23.07,100.00,100.00,,111/05/24,2022-08-05
2417,圓剛,TW0002417003,"158,428,864","155,891,581","2,537,283",98.39,1.6,100.00,100.00,,111/05/31,2022-08-05
2357,華碩,TW0002357001,"742,760,280","415,534,192","327,226,088",55.94,44.05,100.00,100.00,,111/06/01,2022-08-08
2382,廣達,TW0002382009,"3,862,627,432","2,970,113,332","892,514,100",76.89,23.1,100.00,100.00,,111/05/24,2022-08-08
2417,圓剛,TW0002417003,"158,428,864","155,930,581","2,498,283",98.42,1.57,100.00,100.00,,111/05/31,2022-08-08
2357,華碩,TW0002357001,"742,760,280","413,421,238","329,339,042",55.66,44.33,100.00,100.00,,111/06/01,2022-08-09
2382,廣達,TW0002382009,"3,862,627,432","2,970,367,897","892,259,535",76.9,23.09,100.00,100.00,,111/05/24,2022-08-09
2417,圓剛,TW0002417003,"158,428,864","155,776,581","2,652,283",98.32,1.67,100.00,100.00,,111/05/31,2022-08-09
