證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","411,548,839","331,211,441",55.4,44.59,100.00,100.00,,111/06/01,2022-09-01
2382,廣達,TW0002382009,"3,862,627,432","2,979,758,802","882,868,630",77.14,22.85,100.00,100.00,,111/05/24,2022-09-01
2417,圓剛,TW0002417003,"158,428,864","155,406,781","3,022,083",98.09,1.9,100.00,100.00,,111/05/31,2022-09-01
2357,華碩,TW0002357001,"742,760,280","412,660,222","330,100,058",55.55,44.44,100.00,100.00,,111/06/01,2022-09-02
2382,廣達,TW0002382009,"3,862,627,432","2,980,605,505","882,021,927",77.16,22.83,100.00,100.00,,111/05/24,2022-09-02
2417,圓剛,TW0002417003,"158,428,864","155,393,781","3,035,083",98.08,1.91,100.00,100.00,,111/05/31,2022-09-02
2357,華碩,TW0002357001,"742,760,280","411,268,348","331,491,932",55.37,44.62,100.00,100.00,,111/06/01,2022-09-05
2382,廣達,TW0002382009,"3,862,627,432","2,978,170,607","884,456,825",77.1,22.89,100.00,100.00,,111/05/24,2022-09-05
2417,圓剛,TW0002417003,"158,428,864","155,512,781","2,916,083",98.15,1.84,100.00,100.00,,111/05/31,2022-09-05
2357,華碩,TW0002357001,"742,760,280","411,721,019","331,039,261",55.43,44.56,100.00,100.00,,111/06/01,2022-09-06
2382,廣達,TW0002382009,"3,862,627,432","2,977,382,831","885,244,601",77.08,22.91,100.00,100.00,,111/05/24,2022-09-06
2417,圓剛,TW0002417003,"158,428,864","156,087,781","2,341,083",98.52,1.47,100.00,100.00,,111/05/31,2022-09-06
2357,華碩,TW0002357001,"742,760,280","413,887,900","328,872,380",55.72,44.27,100.00,100.00,,111/06/01,2022-09-07
2382,廣達,TW0002382009,"3,862,627,432","2,978,247,317","884,380,115",77.1,22.89,100.00,100.00,,111/05/24,2022-09-07
2417,圓剛,TW0002417003,"158,428,864","156,425,781","2,003,083",98.73,1.26,100.00,100.00,,111/05/31,2022-09-07
2357,華碩,TW0002357001,"742,760,280","413,090,730","329,669,550",55.61,44.38,100.00,100.00,,111/06/01,2022-09-08
