證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","267,284,775","475,475,505",35.98,64.01,100.00,100.00,,108/06/04,2019-12-02
2382,廣達,TW0002382009,"3,862,627,432","2,776,955,494","1,085,671,938",71.89,28.1,100.00,100.00,,108/05/24,2019-12-02
2417,圓剛,TW0002417003,"192,892,330","184,909,457","7,982,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-02
2357,華碩,TW0002357001,"742,760,280","266,984,775","475,775,505",35.94,64.05,100.00,100.00,,108/06/04,2019-12-03
2382,廣達,TW0002382009,"3,862,627,432","2,777,034,494","1,085,592,938",71.89,28.1,100.00,100.00,,108/05/24,2019-12-03
2417,圓剛,TW0002417003,"192,892,330","184,908,457","7,983,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-03
2357,華碩,TW0002357001,"742,760,280","266,804,685","475,955,595",35.92,64.07,100.00,100.00,,108/06/04,2019-12-04
2382,廣達,TW0002382009,"3,862,627,432","2,774,879,460","1,087,747,972",71.83,28.16,100.00,100.00,,108/05/24,2019-12-04
2417,圓剛,TW0002417003,"192,892,330","184,922,457","7,969,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-04
2357,華碩,TW0002357001,"742,760,280","266,384,705","476,375,575",35.86,64.13,100.00,100.00,,108/06/04,2019-12-05
2382,廣達,TW0002382009,"3,862,627,432","2,775,357,409","1,087,270,023",71.85,28.14,100.00,100.00,,108/05/24,2019-12-05
2417,圓剛,TW0002417003,"192,892,330","184,921,457","7,970,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-05
2357,華碩,TW0002357001,"742,760,280","266,414,705","476,345,575",35.86,64.13,100.00,100.00,,108/06/04,2019-12-06
2382,廣達,TW0002382009,"3,862,627,432","2,776,387,409","1,086,240,023",71.87,28.12,100.00,100.00,,108/05/24,2019-12-06
2417,圓剛,TW0002417003,"192,892,330","184,908,457","7,983,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-06
2357,華碩,TW0002357001,"742,760,280","266,152,705","476,607,575",35.83,64.16,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10812' target=_blank>4</a>,108/06/04,2019-12-09
2382,廣達,TW0002382009,"3,862,627,432","2,776,684,409","1,085,943,023",71.88,28.11,100.00,100.00,,108/05/24,2019-12-09
2417,圓剛,TW0002417003,"192,892,330","184,886,457","8,005,873",95.84,4.15,100.00,100.00,,108/06/04,2019-12-09
2357,華碩,TW0002357001,"742,760,280","265,846,691","476,913,589",35.79,64.2,100.00,100.00,,108/06/04,2019-12-10
2382,廣達,TW0002382009,"3,862,627,432","2,777,549,661","1,085,077,771",71.9,28.09,100.00,100.00,,108/05/24,2019-12-10
2417,圓剛,TW0002417003,"192,892,330","184,882,457","8,009,873",95.84,4.15,100.00,100.00,,108/06/04,2019-12-10
2357,華碩,TW0002357001,"742,760,280","265,784,398","476,975,882",35.78,64.21,100.00,100.00,,108/06/04,2019-12-11
2382,廣達,TW0002382009,"3,862,627,432","2,777,847,911","1,084,779,521",71.91,28.08,100.00,100.00,,108/05/24,2019-12-11
2417,圓剛,TW0002417003,"192,892,330","184,884,457","8,007,873",95.84,4.15,100.00,100.00,,108/06/04,2019-12-11
2357,華碩,TW0002357001,"742,760,280","265,316,908","477,443,372",35.72,64.27,100.00,100.00,,108/06/04,2019-12-12
2382,廣達,TW0002382009,"3,862,627,432","2,777,068,433","1,085,558,999",71.89,28.1,100.00,100.00,,108/05/24,2019-12-12
2417,圓剛,TW0002417003,"192,892,330","184,895,457","7,996,873",95.85,4.14,100.00,100.00,,108/06/04,2019-12-12
2357,華碩,TW0002357001,"742,760,280","265,198,586","477,561,694",35.7,64.29,100.00,100.00,,108/06/04,2019-12-13
2382,廣達,TW0002382009,"3,862,627,432","2,777,158,552","1,085,468,880",71.89,28.1,100.00,100.00,,108/05/24,2019-12-13
2417,圓剛,TW0002417003,"192,892,330","184,938,457","7,953,873",95.87,4.12,100.00,100.00,,108/06/04,2019-12-13
2357,華碩,TW0002357001,"742,760,280","265,280,651","477,479,629",35.71,64.28,100.00,100.00,,108/06/04,2019-12-16
2382,廣達,TW0002382009,"3,862,627,432","2,779,239,137","1,083,388,295",71.95,28.04,100.00,100.00,,108/05/24,2019-12-16
2417,圓剛,TW0002417003,"192,892,330","184,929,457","7,962,873",95.87,4.12,100.00,100.00,,108/06/04,2019-12-16
2357,華碩,TW0002357001,"742,760,280","264,983,595","477,776,685",35.67,64.32,100.00,100.00,,108/06/04,2019-12-17
2382,廣達,TW0002382009,"3,862,627,432","2,780,147,847","1,082,479,585",71.97,28.02,100.00,100.00,,108/05/24,2019-12-17
2417,圓剛,TW0002417003,"192,892,330","184,915,457","7,976,873",95.86,4.13,100.00,100.00,,108/06/04,2019-12-17
2357,華碩,TW0002357001,"742,760,280","264,535,455","478,224,825",35.61,64.38,100.00,100.00,,108/06/04,2019-12-18
2382,廣達,TW0002382009,"3,862,627,432","2,778,604,570","1,084,022,862",71.93,28.06,100.00,100.00,,108/05/24,2019-12-18
2417,圓剛,TW0002417003,"192,892,330","184,860,457","8,031,873",95.83,4.16,100.00,100.00,,108/06/04,2019-12-18
2357,華碩,TW0002357001,"742,760,280","265,265,259","477,495,021",35.71,64.28,100.00,100.00,,108/06/04,2019-12-19
2382,廣達,TW0002382009,"3,862,627,432","2,774,276,056","1,088,351,376",71.82,28.17,100.00,100.00,,108/05/24,2019-12-19
2417,圓剛,TW0002417003,"192,892,330","184,851,457","8,040,873",95.83,4.16,100.00,100.00,,108/06/04,2019-12-19
2357,華碩,TW0002357001,"742,760,280","265,320,089","477,440,191",35.72,64.27,100.00,100.00,,108/06/04,2019-12-20
2382,廣達,TW0002382009,"3,862,627,432","2,776,840,569","1,085,786,863",71.88,28.11,100.00,100.00,,108/05/24,2019-12-20
2417,圓剛,TW0002417003,"192,892,330","184,856,457","8,035,873",95.83,4.16,100.00,100.00,,108/06/04,2019-12-20
2357,華碩,TW0002357001,"742,760,280","264,638,457","478,121,823",35.62,64.37,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10812' target=_blank>4</a>,108/06/04,2019-12-23
2382,廣達,TW0002382009,"3,862,627,432","2,776,412,505","1,086,214,927",71.87,28.12,100.00,100.00,,108/05/24,2019-12-23
