證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","260,634,793","482,125,487",35.09,64.9,100.00,100.00,,109/05/29,2020-10-05
2382,廣達,TW0002382009,"3,862,627,432","2,697,426,736","1,165,200,696",69.83,30.16,100.00,100.00,,109/05/22,2020-10-05
2417,圓剛,TW0002417003,"192,892,330","180,847,836","12,044,494",93.75,6.24,100.00,100.00,,109/06/05,2020-10-05
2357,華碩,TW0002357001,"742,760,280","261,253,912","481,506,368",35.17,64.82,100.00,100.00,,109/05/29,2020-10-06
2382,廣達,TW0002382009,"3,862,627,432","2,694,583,592","1,168,043,840",69.76,30.23,100.00,100.00,,109/05/22,2020-10-06
2417,圓剛,TW0002417003,"192,892,330","184,289,836","8,602,494",95.54,4.45,100.00,100.00,,109/06/05,2020-10-06
2357,華碩,TW0002357001,"742,760,280","261,723,795","481,036,485",35.23,64.76,100.00,100.00,,109/05/29,2020-10-07
2382,廣達,TW0002382009,"3,862,627,432","2,696,428,141","1,166,199,291",69.8,30.19,100.00,100.00,,109/05/22,2020-10-07
2417,圓剛,TW0002417003,"192,892,330","184,287,836","8,604,494",95.53,4.46,100.00,100.00,,109/06/05,2020-10-07
2357,華碩,TW0002357001,"742,760,280","261,383,057","481,377,223",35.19,64.8,100.00,100.00,,109/05/29,2020-10-08
2382,廣達,TW0002382009,"3,862,627,432","2,692,719,162","1,169,908,270",69.71,30.28,100.00,100.00,,109/05/22,2020-10-08
2417,圓剛,TW0002417003,"192,892,330","185,037,836","7,854,494",95.92,4.07,100.00,100.00,,109/06/05,2020-10-08
2357,華碩,TW0002357001,"742,760,280","260,666,212","482,094,068",35.09,64.9,100.00,100.00,,109/05/29,2020-10-12
2382,廣達,TW0002382009,"3,862,627,432","2,696,844,349","1,165,783,083",69.81,30.18,100.00,100.00,,109/05/22,2020-10-12
2417,圓剛,TW0002417003,"192,892,330","182,486,836","10,405,494",94.6,5.39,100.00,100.00,,109/06/05,2020-10-12
2357,華碩,TW0002357001,"742,760,280","261,610,978","481,149,302",35.22,64.77,100.00,100.00,,109/05/29,2020-10-13
2382,廣達,TW0002382009,"3,862,627,432","2,695,095,981","1,167,531,451",69.77,30.22,100.00,100.00,,109/05/22,2020-10-13
2417,圓剛,TW0002417003,"192,892,330","185,325,836","7,566,494",96.07,3.92,100.00,100.00,,109/06/05,2020-10-13
2357,華碩,TW0002357001,"742,760,280","262,242,024","480,518,256",35.3,64.69,100.00,100.00,,109/05/29,2020-10-14
2382,廣達,TW0002382009,"3,862,627,432","2,693,785,694","1,168,841,738",69.73,30.26,100.00,100.00,,109/05/22,2020-10-14
2417,圓剛,TW0002417003,"192,892,330","183,166,836","9,725,494",94.95,5.04,100.00,100.00,,109/06/05,2020-10-14
