證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","253,868,053","488,892,227",34.17,65.82,100.00,100.00,,107/05/16,2019-04-01
2382,廣達,TW0002382009,"3,862,627,432","2,811,488,426","1,051,139,006",72.78,27.21,100.00,100.00,,107/05/16,2019-04-01
2417,圓剛,TW0002417003,"192,892,330","184,013,734","8,878,596",95.39,4.6,100.00,100.00,,107/06/01,2019-04-01
2357,華碩,TW0002357001,"742,760,280","254,034,029","488,726,251",34.2,65.79,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10804' target=_blank>4</a>,107/05/16,2019-04-02
2382,廣達,TW0002382009,"3,862,627,432","2,811,604,826","1,051,022,606",72.78,27.21,100.00,100.00,,107/05/16,2019-04-02
2417,圓剛,TW0002417003,"192,892,330","184,050,734","8,841,596",95.41,4.58,100.00,100.00,,107/06/01,2019-04-02
2357,華碩,TW0002357001,"742,760,280","254,119,956","488,640,324",34.21,65.78,100.00,100.00,,107/05/16,2019-04-03
2382,廣達,TW0002382009,"3,862,627,432","2,811,247,826","1,051,379,606",72.78,27.21,100.00,100.00,,107/05/16,2019-04-03
2417,圓剛,TW0002417003,"192,892,330","183,984,734","8,907,596",95.38,4.61,100.00,100.00,,107/06/01,2019-04-03
2357,華碩,TW0002357001,"742,760,280","254,133,029","488,627,251",34.21,65.78,100.00,100.00,,107/05/16,2019-04-08
2382,廣達,TW0002382009,"3,862,627,432","2,810,353,826","1,052,273,606",72.75,27.24,100.00,100.00,,107/05/16,2019-04-08
2417,圓剛,TW0002417003,"192,892,330","183,955,734","8,936,596",95.36,4.63,100.00,100.00,,107/06/01,2019-04-08
2357,華碩,TW0002357001,"742,760,280","254,757,459","488,002,821",34.29,65.7,100.00,100.00,,107/05/16,2019-04-09
2382,廣達,TW0002382009,"3,862,627,432","2,808,762,826","1,053,864,606",72.71,27.28,100.00,100.00,,107/05/16,2019-04-09
2417,圓剛,TW0002417003,"192,892,330","183,962,734","8,929,596",95.37,4.62,100.00,100.00,,107/06/01,2019-04-09
2357,華碩,TW0002357001,"742,760,280","254,810,604","487,949,676",34.3,65.69,100.00,100.00,,107/05/16,2019-04-10
2382,廣達,TW0002382009,"3,862,627,432","2,808,613,994","1,054,013,438",72.71,27.28,100.00,100.00,,107/05/16,2019-04-10
2417,圓剛,TW0002417003,"192,892,330","183,850,734","9,041,596",95.31,4.68,100.00,100.00,,107/06/01,2019-04-10
2357,華碩,TW0002357001,"742,760,280","255,029,604","487,730,676",34.33,65.66,100.00,100.00,,107/05/16,2019-04-11
2382,廣達,TW0002382009,"3,862,627,432","2,808,367,994","1,054,259,438",72.7,27.29,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2382&date=10804' target=_blank>4</a>,107/05/16,2019-04-11
2417,圓剛,TW0002417003,"192,892,330","183,833,734","9,058,596",95.3,4.69,100.00,100.00,,107/06/01,2019-04-11
2357,華碩,TW0002357001,"742,760,280","255,238,908","487,521,372",34.36,65.63,100.00,100.00, <a href=' https://mops.twse.com.tw/server-java/t98sb03?step=1&TYPEK=sii&colorchg=1&kind=3&co_id=2357&date=10804' target=_blank>4</a>,107/05/16,2019-04-12
2382,廣達,TW0002382009,"3,862,627,432","2,808,727,890","1,053,899,542",72.71,27.28,100.00,100.00,,107/05/16,2019-04-12
2417,圓剛,TW0002417003,"192,892,330","183,776,734","9,115,596",95.27,4.72,100.00,100.00,,107/06/01,2019-04-12
2357,華碩,TW0002357001,"742,760,280","255,157,016","487,603,264",34.35,65.64,100.00,100.00,,107/05/16,2019-04-15
