證券代號,證券名稱,國際證券編碼,發行股數,外資及陸資尚可投資股數,全體外資及陸資持有股數,外資及陸資尚可投資比率,全體外資及陸資持股比率,外資及陸資共用法令投資上限比率,陸資法令投資上限比率,與前日異動原因(註),最近一次上市公司申報外資及陸資持股異動日期,日期
2357,華碩,TW0002357001,"742,760,280","272,602,220","470,158,060",36.7,63.29,100.00,100.00,,108/06/04,2019-10-01
2382,廣達,TW0002382009,"3,862,627,432","2,847,491,663","1,015,135,769",73.71,26.28,100.00,100.00,,108/05/24,2019-10-01
2417,圓剛,TW0002417003,"192,892,330","183,991,457","8,900,873",95.38,4.61,100.00,100.00,,108/06/04,2019-10-01
2357,華碩,TW0002357001,"742,760,280","273,257,382","469,502,898",36.78,63.21,100.00,100.00,,108/06/04,2019-10-02
2382,廣達,TW0002382009,"3,862,627,432","2,847,924,623","1,014,702,809",73.73,26.26,100.00,100.00,,108/05/24,2019-10-02
2417,圓剛,TW0002417003,"192,892,330","183,991,457","8,900,873",95.38,4.61,100.00,100.00,,108/06/04,2019-10-02
2357,華碩,TW0002357001,"742,760,280","274,185,830","468,574,450",36.91,63.08,100.00,100.00,,108/06/04,2019-10-03
2382,廣達,TW0002382009,"3,862,627,432","2,848,962,232","1,013,665,200",73.75,26.24,100.00,100.00,,108/05/24,2019-10-03
2417,圓剛,TW0002417003,"192,892,330","184,023,457","8,868,873",95.4,4.59,100.00,100.00,,108/06/04,2019-10-03
2357,華碩,TW0002357001,"742,760,280","273,728,815","469,031,465",36.85,63.14,100.00,100.00,,108/06/04,2019-10-04
2382,廣達,TW0002382009,"3,862,627,432","2,848,081,708","1,014,545,724",73.73,26.26,100.00,100.00,,108/05/24,2019-10-04
2417,圓剛,TW0002417003,"192,892,330","184,042,457","8,849,873",95.41,4.58,100.00,100.00,,108/06/04,2019-10-04
2357,華碩,TW0002357001,"742,760,280","273,933,815","468,826,465",36.88,63.11,100.00,100.00,,108/06/04,2019-10-07
2382,廣達,TW0002382009,"3,862,627,432","2,848,072,708","1,014,554,724",73.73,26.26,100.00,100.00,,108/05/24,2019-10-07
2417,圓剛,TW0002417003,"192,892,330","184,061,457","8,830,873",95.42,4.57,100.00,100.00,,108/06/04,2019-10-07
2357,華碩,TW0002357001,"742,760,280","273,546,815","469,213,465",36.82,63.17,100.00,100.00,,108/06/04,2019-10-08
2382,廣達,TW0002382009,"3,862,627,432","2,845,671,708","1,016,955,724",73.67,26.32,100.00,100.00,,108/05/24,2019-10-08
